"","date","workerid","amount"
"1","Thu Feb 04 10:24:12 PST 2016","A2P065E9CYMYJL","1.1"
"2","Thu Feb 04 10:25:53 PST 2016","AQL960O0LTRI8","1.1"
"3","Thu Feb 04 10:26:21 PST 2016","A1RSJ45RXTREWN","1.1"
"4","Thu Feb 04 10:27:57 PST 2016","A1FYFBIFYWTMJS","1.1"
"5","Thu Feb 04 10:28:32 PST 2016","A110KENBXU7SUJ","1.1"
"6","Thu Feb 04 10:35:10 PST 2016","A5NE8TWS8ZV7B","1.1"
"7","Thu Feb 04 10:35:29 PST 2016","A2541C8MY0BYV3","1.1"
"8","Thu Feb 04 10:41:09 PST 2016","A3MJ47AD05HGC","1.1"
"9","Thu Feb 04 11:00:17 PST 2016","A1M682B2WUSYJP","1.1"
"10","Thu Feb 04 13:44:06 PST 2016","A3579N2TITA69M","1.1"
"11","Thu Feb 04 13:45:18 PST 2016","A2OG7XGWOX5ZEF","1.1"
"12","Thu Feb 04 13:48:39 PST 2016","A19TL7AJ0FB1JG","1.1"
"13","Thu Feb 04 13:51:17 PST 2016","A3HBMPB74FWI1","1.1"
"14","Thu Feb 04 13:58:28 PST 2016","AKLV0WIZZ356X","1.1"
"15","Thu Feb 04 13:58:29 PST 2016","A177EXELDLWTWV","1.1"
"16","Thu Feb 04 13:59:21 PST 2016","ARVXIBUCA8WDZ","1.1"
"17","Thu Feb 04 14:04:06 PST 2016","A3RUUTINBKU8YE","1.1"
"18","Thu Feb 04 14:08:10 PST 2016","ATHS9CW2FLYUY","1.1"
"19","Thu Feb 04 13:43:34 PST 2016","A13VIJ7G997ZCY","1.1"
"20","Thu Feb 04 13:43:37 PST 2016","A1JNC3HWWHJD2J","1.1"
"21","Thu Feb 04 13:45:49 PST 2016","AM8G88XOE0Y7U","1.1"
"22","Thu Feb 04 13:48:30 PST 2016","A90JBLDKW71DX","1.1"
"23","Thu Feb 04 13:50:31 PST 2016","A2N9VFOF9Q1R75","1.1"
"24","Thu Feb 04 13:52:09 PST 2016","AW0MG225VXWCN","1.1"
"25","Thu Feb 04 13:55:16 PST 2016","A12FCLCVIM2CL3","1.1"
"26","Thu Feb 04 14:00:55 PST 2016","A2R02DYCDLY75U","1.1"
"27","Thu Feb 04 14:19:18 PST 2016","A2G7N0X0PNX0EE","1.1"
