workerid,utteranceType,animalType,alterantive,animal,categoryID,QUD,setNum,featureSet,response
0,fig,alt,dog,panda,5,gen,4,ugly; small,0.62
0,fig,alt,dog,panda,5,gen,2,cute; small,0.41
0,fig,alt,dog,panda,5,gen,3,ugly; big,0.49
0,fig,alt,dog,panda,5,gen,1,cute; big,0.42
0,fig,alt,hippo,whale,2,f1,4,small; shabby,0.62
0,fig,alt,hippo,whale,2,f1,3,small; majestic,0.39
0,fig,alt,hippo,whale,2,f1,1,big; majestic,0.58
0,fig,alt,hippo,whale,2,f1,2,big; shabby,0.59
0,fig,alt,turtle,elephant,4,f1,3,small; hard,0.74
0,fig,alt,turtle,elephant,4,f1,1,big; hard,0.29
0,fig,alt,turtle,elephant,4,f1,2,big; soft,0.33
0,fig,alt,turtle,elephant,4,f1,4,small; soft,0.67
0,lit,orig,penguin,penguin,7,f1,1,funny; cute,0.77
0,lit,orig,penguin,penguin,7,f1,3,serious; cute,0.25
0,lit,orig,penguin,penguin,7,f1,4,serious; ugly,0.31
0,lit,orig,penguin,penguin,7,f1,2,funny; ugly,0.3
0,lit,orig,bird,bird,3,f2,2,fast; big,0.37
0,lit,orig,bird,bird,3,f2,1,fast; small,0.34
0,lit,orig,bird,bird,3,f2,4,slow; big,0.31
0,lit,orig,bird,bird,3,f2,3,slow; small,0.77
0,lit,alt,monkey,monkey,6,f2,3,serious; smart,0.74
0,lit,alt,monkey,monkey,6,f2,4,serious; stupid,0.28
0,lit,alt,monkey,monkey,6,f2,2,funny; stupid,0.28
0,lit,alt,monkey,monkey,6,f2,1,funny; smart,0.46
0,fig,alt,jaguar,bird,3,f2,2,fast; big,0.13
0,fig,alt,jaguar,bird,3,f2,4,slow; big,0.17
0,fig,alt,jaguar,bird,3,f2,1,fast; small,0.74
0,fig,alt,jaguar,bird,3,f2,3,slow; small,0.39
0,fig,alt,turtle,turtle,10,f1,1,slow; strong,0.74
0,fig,alt,turtle,turtle,10,f1,3,fast; strong,0.2
0,fig,alt,turtle,turtle,10,f1,4,fast; weak,0.2
0,fig,alt,turtle,turtle,10,f1,2,slow; weak,0.28
0,lit,alt,jaguar,rabbit,12,gen,3,slow; cute,0.22
0,lit,alt,jaguar,rabbit,12,gen,2,fast; ugly,0.67
0,lit,alt,jaguar,rabbit,12,gen,4,slow; ugly,0.3
0,lit,alt,jaguar,rabbit,12,gen,1,fast; cute,0.3
0,fig,alt,horse,lion,11,f2,3,gentle; strong,0.39
0,fig,alt,horse,lion,11,f2,4,gentle; weak,0.26
0,fig,alt,horse,lion,11,f2,2,fierce; weak,0.26
0,fig,alt,horse,lion,11,f2,1,fierce; strong,0.69
0,lit,orig,ant,ant,1,gen,3,big; industrious,0.24
0,lit,orig,ant,ant,1,gen,2,small; lazy,0.65
0,lit,orig,ant,ant,1,gen,4,big; lazy,0.35
0,lit,orig,ant,ant,1,gen,1,small; industrious,0.36
0,lit,orig,elephant,elephant,4,gen,2,big; soft,0.67
0,lit,orig,elephant,elephant,4,gen,4,small; soft,0.24
0,lit,orig,elephant,elephant,4,gen,3,small; hard,0.29
0,lit,orig,elephant,elephant,4,gen,1,big; hard,0.29
0,fig,alt,monkey,penguin,7,gen,4,serious; ugly,0.39
0,fig,alt,monkey,penguin,7,gen,1,funny; cute,0.65
0,fig,alt,monkey,penguin,7,gen,2,funny; ugly,0.5
0,fig,alt,monkey,penguin,7,gen,3,serious; cute,0.33
0,fig,orig,rabbit,rabbit,12,gen,4,slow; ugly,0.2
0,fig,orig,rabbit,rabbit,12,gen,3,slow; cute,0.22
0,fig,orig,rabbit,rabbit,12,gen,1,fast; cute,0.54
0,fig,orig,rabbit,rabbit,12,gen,2,fast; ugly,0.55
0,fig,orig,cheetah,cheetah,9,f1,2,fast; clumsy,0.67
0,fig,orig,cheetah,cheetah,9,f1,4,slow; clumsy,0.67
0,fig,orig,cheetah,cheetah,9,f1,3,slow; agile,0.25
0,fig,orig,cheetah,cheetah,9,f1,1,fast; agile,0.32
0,lit,orig,lion,lion,11,f1,4,gentle; weak,0.25
0,lit,orig,lion,lion,11,f1,2,fierce; weak,0.29
0,lit,orig,lion,lion,11,f1,3,gentle; strong,0.43
0,lit,orig,lion,lion,11,f1,1,fierce; strong,0.7
0,lit,orig,whale,whale,2,f2,3,small; majestic,0.68
0,lit,orig,whale,whale,2,f2,1,big; majestic,0.69
0,lit,orig,whale,whale,2,f2,2,big; shabby,0.35
0,lit,orig,whale,whale,2,f2,4,small; shabby,0.36
0,lit,alt,jaguar,cheetah,9,gen,4,slow; clumsy,0.14
0,lit,alt,jaguar,cheetah,9,gen,1,fast; agile,0.78
0,lit,alt,jaguar,cheetah,9,gen,2,fast; clumsy,0.24
0,lit,alt,jaguar,cheetah,9,gen,3,slow; agile,0.28
0,lit,orig,giraffe,giraffe,8,f1,2,tall; short,0.18
0,lit,orig,giraffe,giraffe,8,f1,1,tall; long,0.77
0,lit,orig,giraffe,giraffe,8,f1,3,petite; long,0.26
0,lit,orig,giraffe,giraffe,8,f1,4,petite; short,0.18
0,lit,orig,monkey,monkey,6,f2,2,funny; stupid,0.24
0,lit,orig,monkey,monkey,6,f2,1,funny; smart,0.7
0,lit,orig,monkey,monkey,6,f2,3,serious; smart,0.68
0,lit,orig,monkey,monkey,6,f2,4,serious; stupid,0.18
0,fig,alt,monkey,ant,1,f2,2,small; lazy,0.23
0,fig,alt,monkey,ant,1,f2,4,big; lazy,0.25
0,fig,alt,monkey,ant,1,f2,3,big; industrious,0.72
0,fig,alt,monkey,ant,1,f2,1,small; industrious,0.42
0,fig,alt,horse,giraffe,8,f2,3,petite; long,0.27
0,fig,alt,horse,giraffe,8,f2,1,tall; long,0.72
0,fig,alt,horse,giraffe,8,f2,2,tall; short,0.21
0,fig,alt,horse,giraffe,8,f2,4,petite; short,0.22
0,lit,orig,turtle,turtle,10,f1,4,fast; weak,0.22
0,lit,orig,turtle,turtle,10,f1,3,fast; strong,0.21
0,lit,orig,turtle,turtle,10,f1,1,slow; strong,0.75
0,lit,orig,turtle,turtle,10,f1,2,slow; weak,0.3
0,fig,orig,panda,panda,5,gen,1,cute; big,0.79
0,fig,orig,panda,panda,5,gen,3,ugly; big,0.22
0,fig,orig,panda,panda,5,gen,4,ugly; small,0.22
0,fig,orig,panda,panda,5,gen,2,cute; small,0.22
1,lit,orig,lion,lion,11,f2,4,gentle; weak,0.03
1,lit,orig,lion,lion,11,f2,2,fierce; weak,0
1,lit,orig,lion,lion,11,f2,3,gentle; strong,0.49
1,lit,orig,lion,lion,11,f2,1,fierce; strong,0.81
1,fig,alt,monkey,penguin,7,gen,1,funny; cute,0.44
1,fig,alt,monkey,penguin,7,gen,2,funny; ugly,0.79
1,fig,alt,monkey,penguin,7,gen,3,serious; cute,0.17
1,fig,alt,monkey,penguin,7,gen,4,serious; ugly,0.78
1,fig,orig,rabbit,rabbit,12,gen,3,slow; cute,0.69
1,fig,orig,rabbit,rabbit,12,gen,1,fast; cute,0.52
1,fig,orig,rabbit,rabbit,12,gen,2,fast; ugly,0.03
1,fig,orig,rabbit,rabbit,12,gen,4,slow; ugly,0.13
1,lit,orig,elephant,elephant,4,f2,2,big; soft,0.07
1,lit,orig,elephant,elephant,4,f2,3,small; hard,0.54
1,lit,orig,elephant,elephant,4,f2,4,small; soft,0
1,lit,orig,elephant,elephant,4,f2,1,big; hard,0.9
1,lit,alt,horse,giraffe,8,f1,2,tall; short,0.53
1,lit,alt,horse,giraffe,8,f1,4,petite; short,0
1,lit,alt,horse,giraffe,8,f1,1,tall; long,0.86
1,lit,alt,horse,giraffe,8,f1,3,petite; long,0.22
1,lit,orig,whale,whale,2,gen,1,big; majestic,0.84
1,lit,orig,whale,whale,2,gen,3,small; majestic,0
1,lit,orig,whale,whale,2,gen,2,big; shabby,0.81
1,lit,orig,whale,whale,2,gen,4,small; shabby,0
1,fig,alt,monkey,monkey,6,f2,2,funny; stupid,0.86
1,fig,alt,monkey,monkey,6,f2,3,serious; smart,0
1,fig,alt,monkey,monkey,6,f2,4,serious; stupid,0.1
1,fig,alt,monkey,monkey,6,f2,1,funny; smart,0.27
1,fig,orig,monkey,monkey,6,gen,4,serious; stupid,0
1,fig,orig,monkey,monkey,6,gen,1,funny; smart,0.22
1,fig,orig,monkey,monkey,6,gen,2,funny; stupid,0.88
1,fig,orig,monkey,monkey,6,gen,3,serious; smart,0
1,lit,alt,turtle,turtle,10,f1,2,slow; weak,0.92
1,lit,alt,turtle,turtle,10,f1,1,slow; strong,0.21
1,lit,alt,turtle,turtle,10,f1,3,fast; strong,0
1,lit,alt,turtle,turtle,10,f1,4,fast; weak,0
1,fig,orig,cheetah,cheetah,9,gen,1,fast; agile,0.99
1,fig,orig,cheetah,cheetah,9,gen,4,slow; clumsy,0
1,fig,orig,cheetah,cheetah,9,gen,3,slow; agile,0
1,fig,orig,cheetah,cheetah,9,gen,2,fast; clumsy,0.09
1,lit,alt,jaguar,bird,3,gen,3,slow; small,0
1,lit,alt,jaguar,bird,3,gen,2,fast; big,0.76
1,lit,alt,jaguar,bird,3,gen,1,fast; small,0.75
1,lit,alt,jaguar,bird,3,gen,4,slow; big,0
1,fig,alt,jaguar,cheetah,9,f2,2,fast; clumsy,0
1,fig,alt,jaguar,cheetah,9,f2,1,fast; agile,1
1,fig,alt,jaguar,cheetah,9,f2,3,slow; agile,0.09
1,fig,alt,jaguar,cheetah,9,f2,4,slow; clumsy,0
1,lit,orig,ant,ant,1,f1,2,small; lazy,0.77
1,lit,orig,ant,ant,1,f1,3,big; industrious,0
1,lit,orig,ant,ant,1,f1,1,small; industrious,0.52
1,lit,orig,ant,ant,1,f1,4,big; lazy,0
1,fig,alt,jaguar,rabbit,12,gen,1,fast; cute,0.49
1,fig,alt,jaguar,rabbit,12,gen,3,slow; cute,0
1,fig,alt,jaguar,rabbit,12,gen,2,fast; ugly,0.27
1,fig,alt,jaguar,rabbit,12,gen,4,slow; ugly,0
1,fig,alt,dog,panda,5,f1,1,cute; big,0.68
1,fig,alt,dog,panda,5,f1,3,ugly; big,0.13
1,fig,alt,dog,panda,5,f1,2,cute; small,0.69
