date,workerid,amount
Thu Feb 04 13:43:34 PST 2016,A13VIJ7G997ZCY,1.1
Thu Feb 04 13:43:37 PST 2016,A1JNC3HWWHJD2J,1.1
Thu Feb 04 13:45:49 PST 2016,AM8G88XOE0Y7U,1.1
Thu Feb 04 13:48:30 PST 2016,A90JBLDKW71DX,1.1
Thu Feb 04 13:50:31 PST 2016,A2N9VFOF9Q1R75,1.1
Thu Feb 04 13:52:09 PST 2016,AW0MG225VXWCN,1.1
Thu Feb 04 13:55:16 PST 2016,A12FCLCVIM2CL3,1.1
Thu Feb 04 14:00:55 PST 2016,A2R02DYCDLY75U,1.1
Thu Feb 04 14:19:18 PST 2016,A2G7N0X0PNX0EE,1.1
,total paid to workers:,=SUM(c2:c10)
,10% paid to Amazon:,=.1*c11
,total:,=SUM(c11:c12
