workerid,utteranceType,animalType,alterantive,animal,categoryID,QUD,setNum,featureSet,response
0,fig,orig,monkey,monkey,6,f1,1,funny; smart,0.15
0,fig,orig,monkey,monkey,6,f1,2,funny; stupid,0.71
0,fig,orig,monkey,monkey,6,f1,4,serious; stupid,0.13
0,fig,orig,monkey,monkey,6,f1,3,serious; smart,0.06
0,fig,orig,bird,bird,3,f2,3,slow; small,0.01
0,fig,orig,bird,bird,3,f2,4,slow; big,0.06
0,fig,orig,bird,bird,3,f2,2,fast; big,0.47
0,fig,orig,bird,bird,3,f2,1,fast; small,0.91
0,lit,alt,monkey,ant,1,gen,2,small; lazy,0.1
0,lit,alt,monkey,ant,1,gen,3,big; industrious,0
0,lit,alt,monkey,ant,1,gen,1,small; industrious,0.8
0,lit,alt,monkey,ant,1,gen,4,big; lazy,0
0,fig,orig,cheetah,cheetah,9,f2,3,slow; agile,0
0,fig,orig,cheetah,cheetah,9,f2,1,fast; agile,1
0,fig,orig,cheetah,cheetah,9,f2,4,slow; clumsy,0
0,fig,orig,cheetah,cheetah,9,f2,2,fast; clumsy,0
0,lit,alt,horse,lion,11,f2,2,fierce; weak,0
0,lit,alt,horse,lion,11,f2,4,gentle; weak,0
0,lit,alt,horse,lion,11,f2,1,fierce; strong,0.67
0,lit,alt,horse,lion,11,f2,3,gentle; strong,0.55
0,fig,alt,hippo,whale,2,f2,4,small; shabby,0.01
0,fig,alt,hippo,whale,2,f2,1,big; majestic,0.35
0,fig,alt,hippo,whale,2,f2,2,big; shabby,0.75
0,fig,alt,hippo,whale,2,f2,3,small; majestic,0
0,lit,alt,monkey,monkey,6,f2,1,funny; smart,0.22
0,lit,alt,monkey,monkey,6,f2,3,serious; smart,0.62
0,lit,alt,monkey,monkey,6,f2,4,serious; stupid,0
0,lit,alt,monkey,monkey,6,f2,2,funny; stupid,0
0,lit,alt,turtle,turtle,10,f2,3,fast; strong,0.7
0,lit,alt,turtle,turtle,10,f2,4,fast; weak,0
0,lit,alt,turtle,turtle,10,f2,2,slow; weak,0
0,lit,alt,turtle,turtle,10,f2,1,slow; strong,0.71
0,fig,alt,turtle,elephant,4,gen,4,small; soft,0.07
0,fig,alt,turtle,elephant,4,gen,2,big; soft,0.17
0,fig,alt,turtle,elephant,4,gen,1,big; hard,0.33
0,fig,alt,turtle,elephant,4,gen,3,small; hard,0.77
0,fig,alt,monkey,penguin,7,f1,3,serious; cute,0.21
0,fig,alt,monkey,penguin,7,f1,4,serious; ugly,0.17
0,fig,alt,monkey,penguin,7,f1,1,funny; cute,0.59
0,fig,alt,monkey,penguin,7,f1,2,funny; ugly,0.35
0,lit,orig,lion,lion,11,f2,4,gentle; weak,0
0,lit,orig,lion,lion,11,f2,1,fierce; strong,0.7
0,lit,orig,lion,lion,11,f2,3,gentle; strong,0.71
0,lit,orig,lion,lion,11,f2,2,fierce; weak,0
0,lit,orig,panda,panda,5,f1,3,ugly; big,0
0,lit,orig,panda,panda,5,f1,4,ugly; small,0.01
0,lit,orig,panda,panda,5,f1,2,cute; small,0.74
0,lit,orig,panda,panda,5,f1,1,cute; big,0.61
0,fig,alt,dog,panda,5,f1,3,ugly; big,0
0,fig,alt,dog,panda,5,f1,1,cute; big,0.51
0,fig,alt,dog,panda,5,f1,4,ugly; small,0.19
0,fig,alt,dog,panda,5,f1,2,cute; small,0.37
0,lit,alt,jaguar,cheetah,9,f1,2,fast; clumsy,0
0,lit,alt,jaguar,cheetah,9,f1,1,fast; agile,1
0,lit,alt,jaguar,cheetah,9,f1,4,slow; clumsy,0
0,lit,alt,jaguar,cheetah,9,f1,3,slow; agile,0
0,lit,orig,rabbit,rabbit,12,gen,2,fast; ugly,0.53
0,lit,orig,rabbit,rabbit,12,gen,4,slow; ugly,0
0,lit,orig,rabbit,rabbit,12,gen,1,fast; cute,0.5
0,lit,orig,rabbit,rabbit,12,gen,3,slow; cute,0
0,fig,alt,jaguar,bird,3,f1,2,fast; big,0.68
0,fig,alt,jaguar,bird,3,f1,1,fast; small,0.51
0,fig,alt,jaguar,bird,3,f1,4,slow; big,0
0,fig,alt,jaguar,bird,3,f1,3,slow; small,0.02
0,lit,alt,horse,giraffe,8,f2,2,tall; short,0.1
0,lit,alt,horse,giraffe,8,f2,4,petite; short,0
0,lit,alt,horse,giraffe,8,f2,1,tall; long,1
0,lit,alt,horse,giraffe,8,f2,3,petite; long,0.39
0,fig,alt,jaguar,rabbit,12,gen,2,fast; ugly,0.37
0,fig,alt,jaguar,rabbit,12,gen,3,slow; cute,0
0,fig,alt,jaguar,rabbit,12,gen,1,fast; cute,0.48
0,fig,alt,jaguar,rabbit,12,gen,4,slow; ugly,0.01
0,fig,orig,ant,ant,1,gen,4,big; lazy,0
0,fig,orig,ant,ant,1,gen,1,small; industrious,1
0,fig,orig,ant,ant,1,gen,2,small; lazy,0.19
0,fig,orig,ant,ant,1,gen,3,big; industrious,0.09
0,fig,orig,penguin,penguin,7,gen,3,serious; cute,0.45
0,fig,orig,penguin,penguin,7,gen,2,funny; ugly,0.11
0,fig,orig,penguin,penguin,7,gen,4,serious; ugly,0.09
0,fig,orig,penguin,penguin,7,gen,1,funny; cute,0.43
0,lit,orig,whale,whale,2,gen,1,big; majestic,0.6
0,lit,orig,whale,whale,2,gen,3,small; majestic,0
0,lit,orig,whale,whale,2,gen,4,small; shabby,0
0,lit,orig,whale,whale,2,gen,2,big; shabby,0.57
0,fig,orig,turtle,turtle,10,f1,2,slow; weak,0.83
0,fig,orig,turtle,turtle,10,f1,4,fast; weak,0
0,fig,orig,turtle,turtle,10,f1,1,slow; strong,0.7
0,fig,orig,turtle,turtle,10,f1,3,fast; strong,0
0,lit,orig,giraffe,giraffe,8,gen,2,tall; short,0
0,lit,orig,giraffe,giraffe,8,gen,3,petite; long,0.21
