workerid,animal,categoryID,setNum,featureSet,alternative,response
0,panda,5,4,ugly; small,cat,0.36
0,panda,5,1,cute; big,cat,0.52
0,panda,5,2,cute; small,cat,0.87
0,panda,5,3,ugly; big,cat,0.21
0,giraffe,8,3,petite; long,giraffe,0.13
0,giraffe,8,1,tall; long,giraffe,0.84
0,giraffe,8,2,tall; short,giraffe,0.1
0,giraffe,8,4,petite; short,giraffe,0.11
0,giraffe,8,1,tall; long,horse,0.88
0,giraffe,8,4,petite; short,horse,0.39
0,giraffe,8,3,petite; long,horse,0.46
0,giraffe,8,2,tall; short,horse,0.02
0,monkey,6,3,serious; smart,cat,0.85
0,monkey,6,1,funny; smart,cat,0.83
0,monkey,6,4,serious; stupid,cat,0.77
0,monkey,6,2,funny; stupid,cat,0.78
0,elephant,4,2,big; soft,whale,0.55
0,elephant,4,3,small; hard,whale,0.32
0,elephant,4,1,big; hard,whale,0.84
0,elephant,4,4,small; soft,whale,0.11
0,penguin,7,4,serious; ugly,kitten,0.06
0,penguin,7,3,serious; cute,kitten,0.84
0,penguin,7,2,funny; ugly,kitten,0.49
0,penguin,7,1,funny; cute,kitten,0.91
0,giraffe,8,3,petite; long,flamingo,0.94
0,giraffe,8,4,petite; short,flamingo,0.07
0,giraffe,8,1,tall; long,flamingo,0.85
0,giraffe,8,2,tall; short,flamingo,0.17
0,whale,2,4,small; shabby,whale,0.08
0,whale,2,1,big; majestic,whale,0.99
0,whale,2,3,small; majestic,whale,0.21
0,whale,2,2,big; shabby,whale,0.72
0,cheetah,9,2,fast; clumsy,cheetah,0.34
0,cheetah,9,1,fast; agile,cheetah,0.89
0,cheetah,9,4,slow; clumsy,cheetah,0.06
0,cheetah,9,3,slow; agile,cheetah,0.22
0,monkey,6,3,serious; smart,monkey,0.9
0,monkey,6,1,funny; smart,monkey,0.9
0,monkey,6,4,serious; stupid,monkey,0.91
0,monkey,6,2,funny; stupid,monkey,0.91
0,bird,3,1,fast; small,man,0.9
0,bird,3,4,slow; big,man,0.9
0,bird,3,2,fast; big,man,0.62
0,bird,3,3,slow; small,man,0.5
0,penguin,7,3,serious; cute,dog,0.88
0,penguin,7,1,funny; cute,dog,0.87
0,penguin,7,4,serious; ugly,dog,0.86
0,penguin,7,2,funny; ugly,dog,0.87
0,monkey,6,4,serious; stupid,hyena,0.86
0,monkey,6,2,funny; stupid,hyena,0.86
0,monkey,6,1,funny; smart,hyena,0.85
0,monkey,6,3,serious; smart,hyena,0.87
0,lion,11,2,fierce; weak,elephant,0.07
0,lion,11,4,gentle; weak,elephant,0.09
0,lion,11,1,fierce; strong,elephant,0.91
0,lion,11,3,gentle; strong,elephant,0.7
0,turtle,10,1,slow; strong,man,0.79
0,turtle,10,3,fast; strong,man,0.78
0,turtle,10,4,fast; weak,man,0.79
0,turtle,10,2,slow; weak,man,0.79
0,bird,3,1,fast; small,bird,0.9
0,bird,3,4,slow; big,bird,0.09
0,bird,3,3,slow; small,bird,0.19
0,bird,3,2,fast; big,bird,0.45
0,panda,5,4,ugly; small,whale,0.1
0,panda,5,3,ugly; big,whale,0.86
0,panda,5,2,cute; small,whale,0.03
0,panda,5,1,cute; big,whale,0.92
0,lion,11,3,gentle; strong,shark,0.22
0,lion,11,2,fierce; weak,shark,0.3
0,lion,11,4,gentle; weak,shark,0.01
0,lion,11,1,fierce; strong,shark,0.96
0,panda,5,4,ugly; small,panda,0.06
0,panda,5,1,cute; big,panda,0.97
0,panda,5,3,ugly; big,panda,0.16
0,panda,5,2,cute; small,panda,0.18
0,giraffe,8,4,petite; short,man,0.88
0,giraffe,8,1,tall; long,man,0.87
0,giraffe,8,2,tall; short,man,0.02
0,giraffe,8,3,petite; long,man,0.09
0,panda,5,3,ugly; big,elephant,0.33
0,panda,5,1,cute; big,elephant,0.92
0,panda,5,2,cute; small,elephant,0.1
0,panda,5,4,ugly; small,elephant,0.04
0,turtle,10,4,fast; weak,sloth,0.02
0,turtle,10,3,fast; strong,sloth,0.02
0,turtle,10,2,slow; weak,sloth,0.86
0,turtle,10,1,slow; strong,sloth,0.91
0,turtle,10,4,fast; weak,elephant,0.09
0,turtle,10,1,slow; strong,elephant,0.68
0,turtle,10,2,slow; weak,elephant,0.02
0,turtle,10,3,fast; strong,elephant,0.88
0,ant,1,4,big; lazy,dog,0.78
0,ant,1,3,big; industrious,dog,0.79
0,ant,1,2,small; lazy,dog,0.79
0,ant,1,1,small; industrious,dog,0.78
1,ant,1,1,small; industrious,dog,0.57
1,ant,1,2,small; lazy,dog,0.92
1,ant,1,3,big; industrious,dog,0.81
1,ant,1,4,big; lazy,dog,0.84
1,monkey,6,3,serious; smart,man,0.96
1,monkey,6,4,serious; stupid,man,0.87
1,monkey,6,2,funny; stupid,man,0.97
1,monkey,6,1,funny; smart,man,0.91
1,panda,5,3,ugly; big,dog,0.82
1,panda,5,2,cute; small,dog,0.88
1,panda,5,4,ugly; small,dog,0.85
1,panda,5,1,cute; big,dog,0.85
1,penguin,7,1,funny; cute,cat,0.9
1,penguin,7,3,serious; cute,cat,0.61
1,penguin,7,4,serious; ugly,cat,0.77
1,penguin,7,2,funny; ugly,cat,0.86
1,bird,3,1,fast; small,jaguar,0.64
1,bird,3,4,slow; big,jaguar,0.12
1,bird,3,2,fast; big,jaguar,0.93
1,bird,3,3,slow; small,jaguar,0.04
1,lion,11,2,fierce; weak,tiger,0.09
1,lion,11,3,gentle; strong,tiger,0.08
1,lion,11,4,gentle; weak,tiger,0.09
1,lion,11,1,fierce; strong,tiger,0.92
1,whale,2,4,small; shabby,man,0.87
1,whale,2,2,big; shabby,man,0.89
1,whale,2,3,small; majestic,man,0.4
1,whale,2,1,big; majestic,man,0.64
1,cheetah,9,4,slow; clumsy,leopard,0.07
1,cheetah,9,2,fast; clumsy,leopard,0.55
1,cheetah,9,1,fast; agile,leopard,0.9
1,cheetah,9,3,slow; agile,leopard,0.12
1,monkey,6,2,funny; stupid,dolphin,0.92
1,monkey,6,4,serious; stupid,dolphin,0.06
1,monkey,6,1,funny; smart,dolphin,0.74
1,monkey,6,3,serious; smart,dolphin,0.22
1,rabbit,12,4,slow; ugly,dog,0.91
1,rabbit,12,2,fast; ugly,dog,0.9
1,rabbit,12,3,slow; cute,dog,0.9
1,rabbit,12,1,fast; cute,dog,0.9
1,giraffe,8,1,tall; long,horse,0.87
1,giraffe,8,3,petite; long,horse,0.24
1,giraffe,8,4,petite; short,horse,0.45
1,giraffe,8,2,tall; short,horse,0
1,whale,2,3,small; majestic,lion,0.24
1,whale,2,1,big; majestic,lion,0.92
1,whale,2,4,small; shabby,lion,0.24
1,whale,2,2,big; shabby,lion,0.83
1,whale,2,4,small; shabby,whale,0.12
1,whale,2,1,big; majestic,whale,0.92
1,whale,2,2,big; shabby,whale,0.38
1,whale,2,3,small; majestic,whale,0.15
1,elephant,4,2,big; soft,man,0.95
1,elephant,4,4,small; soft,man,0.85
1,elephant,4,1,big; hard,man,0.9
1,elephant,4,3,small; hard,man,0.81
1,elephant,4,3,small; hard,whale,0.11
1,elephant,4,1,big; hard,whale,0.69
1,elephant,4,4,small; soft,whale,0.16
1,elephant,4,2,big; soft,whale,0.5
1,elephant,4,3,small; hard,hippo,0.25
1,elephant,4,1,big; hard,hippo,0.87
1,elephant,4,2,big; soft,hippo,0.19
1,elephant,4,4,small; soft,hippo,0.15
1,bird,3,2,fast; big,mouse,0.84
1,bird,3,4,slow; big,mouse,0.14
1,bird,3,1,fast; small,mouse,0.85
1,bird,3,3,slow; small,mouse,0.11
1,penguin,7,1,funny; cute,penguin,0.92
1,penguin,7,3,serious; cute,penguin,0.45
1,penguin,7,2,funny; ugly,penguin,0.79
1,penguin,7,4,serious; ugly,penguin,0.45
1,whale,2,3,small; majestic,hippo,0.22
1,whale,2,4,small; shabby,hippo,0.23
1,whale,2,2,big; shabby,hippo,0.82
1,whale,2,1,big; majestic,hippo,0.81
1,lion,11,3,gentle; strong,lion,0.36
1,lion,11,1,fierce; strong,lion,0.92
1,lion,11,4,gentle; weak,lion,0.05
1,lion,11,2,fierce; weak,lion,0.04
1,rabbit,12,3,slow; cute,cheetah,0.11
1,rabbit,12,1,fast; cute,cheetah,0.85
1,rabbit,12,2,fast; ugly,cheetah,0.88
1,rabbit,12,4,slow; ugly,cheetah,0.06
1,monkey,6,3,serious; smart,monkey,0.55
1,monkey,6,4,serious; stupid,monkey,0.76
1,monkey,6,1,funny; smart,monkey,0.82
1,monkey,6,2,funny; stupid,monkey,0.81
1,whale,2,1,big; majestic,elephant,0.89
1,whale,2,2,big; shabby,elephant,0.9
1,whale,2,4,small; shabby,elephant,0.16
1,whale,2,3,small; majestic,elephant,0.42
1,bird,3,2,fast; big,cheetah,0.88
1,bird,3,3,slow; small,cheetah,0.09
1,bird,3,1,fast; small,cheetah,0.73
1,bird,3,4,slow; big,cheetah,0.06
2,elephant,4,2,big; soft,man,0.04
2,elephant,4,1,big; hard,man,0.05
2,elephant,4,4,small; soft,man,0.02
2,elephant,4,3,small; hard,man,0.02
2,cheetah,9,2,fast; clumsy,leopard,0
2,cheetah,9,3,slow; agile,leopard,0
2,cheetah,9,1,fast; agile,leopard,0.99
2,cheetah,9,4,slow; clumsy,leopard,0
2,panda,5,4,ugly; small,cat,0.18
2,panda,5,2,cute; small,cat,0.9
2,panda,5,3,ugly; big,cat,0.17
2,panda,5,1,cute; big,cat,0.92
2,ant,1,2,small; lazy,ant,0.03
2,ant,1,1,small; industrious,ant,0.99
2,ant,1,3,big; industrious,ant,0.03
2,ant,1,4,big; lazy,ant,0
2,turtle,10,1,slow; strong,sloth,0.97
2,turtle,10,2,slow; weak,sloth,0.22
2,turtle,10,3,fast; strong,sloth,0
2,turtle,10,4,fast; weak,sloth,0.01
2,elephant,4,3,small; hard,elephant,0.04
2,elephant,4,1,big; hard,elephant,0.85
2,elephant,4,2,big; soft,elephant,0.22
2,elephant,4,4,small; soft,elephant,0.01
2,penguin,7,2,funny; ugly,cat,0.12
2,penguin,7,4,serious; ugly,cat,0.04
2,penguin,7,3,serious; cute,cat,0.08
2,penguin,7,1,funny; cute,cat,0.89
2,rabbit,12,2,fast; ugly,rabbit,0.45
2,rabbit,12,1,fast; cute,rabbit,0.98
2,rabbit,12,3,slow; cute,rabbit,0.27
2,rabbit,12,4,slow; ugly,rabbit,0.05
2,cheetah,9,3,slow; agile,cat,0
2,cheetah,9,1,fast; agile,cat,0.93
2,cheetah,9,2,fast; clumsy,cat,0.17
2,cheetah,9,4,slow; clumsy,cat,0.13
2,lion,11,3,gentle; strong,horse,0.9
2,lion,11,2,fierce; weak,horse,0.02
2,lion,11,4,gentle; weak,horse,0.12
2,lion,11,1,fierce; strong,horse,0.59
2,panda,5,3,ugly; big,panda,0.28
2,panda,5,1,cute; big,panda,1
2,panda,5,4,ugly; small,panda,0
2,panda,5,2,cute; small,panda,0.16
2,monkey,6,2,funny; stupid,hyena,0.93
2,monkey,6,4,serious; stupid,hyena,0.16
2,monkey,6,1,funny; smart,hyena,0.23
2,monkey,6,3,serious; smart,hyena,0.01
2,turtle,10,3,fast; strong,man,0.46
2,turtle,10,2,slow; weak,man,0.47
2,turtle,10,4,fast; weak,man,0.16
2,turtle,10,1,slow; strong,man,0.1
2,ant,1,4,big; lazy,dog,0.48
2,ant,1,2,small; lazy,dog,0.39
2,ant,1,3,big; industrious,dog,0.69
2,ant,1,1,small; industrious,dog,0.71
2,whale,2,4,small; shabby,horse,0.02
2,whale,2,3,small; majestic,horse,0.04
2,whale,2,1,big; majestic,horse,1
2,whale,2,2,big; shabby,horse,0.59
2,bird,3,4,slow; big,mouse,0
2,bird,3,3,slow; small,mouse,0.02
2,bird,3,1,fast; small,mouse,1
2,bird,3,2,fast; big,mouse,0
2,panda,5,3,ugly; big,man,0.47
2,panda,5,1,cute; big,man,0.11
2,panda,5,4,ugly; small,man,0.47
2,panda,5,2,cute; small,man,0.41
2,turtle,10,4,fast; weak,snail,0
2,turtle,10,1,slow; strong,snail,0.05
2,turtle,10,2,slow; weak,snail,0.93
2,turtle,10,3,fast; strong,snail,0
2,lion,11,1,fierce; strong,elephant,0.25
2,lion,11,4,gentle; weak,elephant,0
2,lion,11,3,gentle; strong,elephant,0.91
2,lion,11,2,fierce; weak,elephant,0
2,rabbit,12,3,slow; cute,man,0.43
2,rabbit,12,4,slow; ugly,man,0.43
2,rabbit,12,2,fast; ugly,man,0.42
2,rabbit,12,1,fast; cute,man,0.42
2,whale,2,1,big; majestic,lion,0.99
2,whale,2,4,small; shabby,lion,0.04
2,whale,2,3,small; majestic,lion,0
2,whale,2,2,big; shabby,lion,0.38
2,monkey,6,3,serious; smart,man,0.76
2,monkey,6,1,funny; smart,man,0.76
2,monkey,6,4,serious; stupid,man,0.75
2,monkey,6,2,funny; stupid,man,0.75
2,bird,3,3,slow; small,ant,0.28
2,bird,3,4,slow; big,ant,0
2,bird,3,1,fast; small,ant,0.93
2,bird,3,2,fast; big,ant,0
2,giraffe,8,1,tall; long,flamingo,0.93
2,giraffe,8,4,petite; short,flamingo,0.05
2,giraffe,8,2,tall; short,flamingo,0
2,giraffe,8,3,petite; long,flamingo,0
3,monkey,6,1,funny; smart,monkey,0.63
3,monkey,6,4,serious; stupid,monkey,0.44
3,monkey,6,2,funny; stupid,monkey,0.79
3,monkey,6,3,serious; smart,monkey,0.44
3,monkey,6,3,serious; smart,hyena,0.73
3,monkey,6,1,funny; smart,hyena,0.45
3,monkey,6,4,serious; stupid,hyena,0.6
3,monkey,6,2,funny; stupid,hyena,0.43
3,whale,2,3,small; majestic,hippo,0.18
3,whale,2,2,big; shabby,hippo,0.67
3,whale,2,4,small; shabby,hippo,0.18
3,whale,2,1,big; majestic,hippo,0.72
3,lion,11,2,fierce; weak,tiger,0.1
3,lion,11,1,fierce; strong,tiger,0.93
3,lion,11,3,gentle; strong,tiger,0.65
3,lion,11,4,gentle; weak,tiger,0.2
3,turtle,10,2,slow; weak,horse,0.5
3,turtle,10,4,fast; weak,horse,0.71
3,turtle,10,1,slow; strong,horse,0.65
3,turtle,10,3,fast; strong,horse,0.81
3,lion,11,1,fierce; strong,man,0.51
3,lion,11,3,gentle; strong,man,0.51
3,lion,11,2,fierce; weak,man,0.5
3,lion,11,4,gentle; weak,man,0.51
3,giraffe,8,1,tall; long,snake,0.04
3,giraffe,8,2,tall; short,snake,0.03
3,giraffe,8,3,petite; long,snake,0.94
3,giraffe,8,4,petite; short,snake,0.77
3,lion,11,2,fierce; weak,elephant,0.51
3,lion,11,1,fierce; strong,elephant,0.72
3,lion,11,4,gentle; weak,elephant,0.3
3,lion,11,3,gentle; strong,elephant,0.77
3,ant,1,1,small; industrious,man,0.48
3,ant,1,2,small; lazy,man,0.48
3,ant,1,4,big; lazy,man,0.5
3,ant,1,3,big; industrious,man,0.47
3,monkey,6,2,funny; stupid,cat,0.72
3,monkey,6,1,funny; smart,cat,0.74
3,monkey,6,3,serious; smart,cat,0.72
3,monkey,6,4,serious; stupid,cat,0.71
3,monkey,6,4,serious; stupid,dolphin,0.27
3,monkey,6,1,funny; smart,dolphin,0.76
3,monkey,6,2,funny; stupid,dolphin,0.39
3,monkey,6,3,serious; smart,dolphin,0.71
3,turtle,10,4,fast; weak,man,0.5
3,turtle,10,1,slow; strong,man,0.5
3,turtle,10,3,fast; strong,man,0.52
3,turtle,10,2,slow; weak,man,0.51
3,elephant,4,3,small; hard,man,0.31
3,elephant,4,1,big; hard,man,0.41
3,elephant,4,2,big; soft,man,0.78
3,elephant,4,4,small; soft,man,0.79
3,panda,5,4,ugly; small,whale,0.09
3,panda,5,2,cute; small,whale,0.13
3,panda,5,1,cute; big,whale,0.5
3,panda,5,3,ugly; big,whale,0.89
3,panda,5,4,ugly; small,panda,0.18
3,panda,5,3,ugly; big,panda,0.62
3,panda,5,2,cute; small,panda,0.73
3,panda,5,1,cute; big,panda,0.86
3,penguin,7,3,serious; cute,man,0.39
3,penguin,7,4,serious; ugly,man,0.55
3,penguin,7,1,funny; cute,man,0.52
3,penguin,7,2,funny; ugly,man,0.31
3,rabbit,12,3,slow; cute,dog,0.57
3,rabbit,12,2,fast; ugly,dog,0.67
3,rabbit,12,1,fast; cute,dog,0.78
3,rabbit,12,4,slow; ugly,dog,0.59
3,ant,1,1,small; industrious,mouse,0.72
3,ant,1,3,big; industrious,mouse,0.15
3,ant,1,2,small; lazy,mouse,0.79
3,ant,1,4,big; lazy,mouse,0.17
3,elephant,4,2,big; soft,armadillo,0.19
3,elephant,4,3,small; hard,armadillo,0.83
3,elephant,4,1,big; hard,armadillo,0.31
3,elephant,4,4,small; soft,armadillo,0.52
3,turtle,10,3,fast; strong,sloth,0.14
3,turtle,10,2,slow; weak,sloth,0.74
3,turtle,10,4,fast; weak,sloth,0.17
3,turtle,10,1,slow; strong,sloth,0.78
3,turtle,10,3,fast; strong,snail,0.08
3,turtle,10,4,fast; weak,snail,0.07
3,turtle,10,2,slow; weak,snail,0.76
3,turtle,10,1,slow; strong,snail,0.84
3,rabbit,12,4,slow; ugly,jaguar,0.12
3,rabbit,12,1,fast; cute,jaguar,0.62
3,rabbit,12,2,fast; ugly,jaguar,0.65
3,rabbit,12,3,slow; cute,jaguar,0.15
3,bird,3,4,slow; big,man,0.49
3,bird,3,3,slow; small,man,0.51
3,bird,3,1,fast; small,man,0.66
3,bird,3,2,fast; big,man,0.56
3,ant,1,4,big; lazy,monkey,0.28
3,ant,1,2,small; lazy,monkey,0.64
3,ant,1,1,small; industrious,monkey,0.62
3,ant,1,3,big; industrious,monkey,0.3
4,turtle,10,2,slow; weak,horse,0.28
4,turtle,10,1,slow; strong,horse,0.26
4,turtle,10,3,fast; strong,horse,0.55
4,turtle,10,4,fast; weak,horse,0.47
4,ant,1,4,big; lazy,mouse,0.25
4,ant,1,1,small; industrious,mouse,0.68
4,ant,1,3,big; industrious,mouse,0.25
4,ant,1,2,small; lazy,mouse,0.69
4,penguin,7,1,funny; cute,cat,0.77
4,penguin,7,3,serious; cute,cat,0.77
4,penguin,7,2,funny; ugly,cat,0.48
4,penguin,7,4,serious; ugly,cat,0.5
4,penguin,7,4,serious; ugly,monkey,0.64
4,penguin,7,3,serious; cute,monkey,0.65
4,penguin,7,2,funny; ugly,monkey,0.62
4,penguin,7,1,funny; cute,monkey,0.6
4,panda,5,4,ugly; small,dog,0.58
4,panda,5,1,cute; big,dog,0.48
4,panda,5,2,cute; small,dog,0.79
4,panda,5,3,ugly; big,dog,0.54
4,cheetah,9,4,slow; clumsy,cheetah,0.21
4,cheetah,9,1,fast; agile,cheetah,0.89
4,cheetah,9,3,slow; agile,cheetah,0.22
4,cheetah,9,2,fast; clumsy,cheetah,0.71
4,ant,1,4,big; lazy,dog,0.6
4,ant,1,2,small; lazy,dog,0.6
4,ant,1,3,big; industrious,dog,0.5
4,ant,1,1,small; industrious,dog,0.4
4,panda,5,1,cute; big,cat,0.52
4,panda,5,4,ugly; small,cat,0.48
4,panda,5,3,ugly; big,cat,0.48
4,panda,5,2,cute; small,cat,0.74
4,bird,3,2,fast; big,cheetah,0.86
4,bird,3,4,slow; big,cheetah,0.18
4,bird,3,3,slow; small,cheetah,0.17
4,bird,3,1,fast; small,cheetah,0.53
4,cheetah,9,2,fast; clumsy,cat,0.55
4,cheetah,9,3,slow; agile,cat,0.14
4,cheetah,9,4,slow; clumsy,cat,0.17
4,cheetah,9,1,fast; agile,cat,0.9
4,rabbit,12,2,fast; ugly,jaguar,0.61
4,rabbit,12,3,slow; cute,jaguar,0.13
4,rabbit,12,4,slow; ugly,jaguar,0.14
4,rabbit,12,1,fast; cute,jaguar,0.62
4,panda,5,4,ugly; small,whale,0.22
4,panda,5,1,cute; big,whale,0.57
4,panda,5,2,cute; small,whale,0.18
4,panda,5,3,ugly; big,whale,0.89
4,whale,2,1,big; majestic,elephant,0.75
4,whale,2,2,big; shabby,elephant,0.74
4,whale,2,4,small; shabby,elephant,0.18
4,whale,2,3,small; majestic,elephant,0.15
4,ant,1,4,big; lazy,ant,0.01
4,ant,1,1,small; industrious,ant,0.98
4,ant,1,3,big; industrious,ant,0.01
4,ant,1,2,small; lazy,ant,0.81
4,elephant,4,4,small; soft,whale,0.04
4,elephant,4,2,big; soft,whale,0.81
4,elephant,4,3,small; hard,whale,0.06
4,elephant,4,1,big; hard,whale,0.76
