workerid,animal,categoryID,setNum,featureSet,alternative,response,language,enjoyment,gender,age,comments,asses,education,OS,screenH,screenW,Browser,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.catch_trials,Answer.condition,Answer.time_in_minutes
0,panda,5,4,ugly; small,cat,0.36,English,2,Female,33,,Yes,2,Windows,768,1366,Chrome,3BA7SXOG1JR4MBO5HTSOBIFYVDER86,3PSRKXHSTQG07PF46KI17KEWLPOJHH,Psychology study: Animals (metset),We are interested in people&quotechars knowledge of various subjects. This experiment should take around 10 minutes.,language research stanford fun cognitive science university psychology,$1.00,Thu Feb 04 11:32:19 PST 2016,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Sat Mar 05 11:32:19 PST 2016,https://requester.mturk.com/mturk/manageHIT?HITId=3BA7SXOG1JR4MBO5HTSOBIFYVDER86,3K9FOBBF2HKH94EP9DPCWNRHJR7NLN,0,Approved,Fri Feb 05 04:16:57 PST 2016,Thu Feb 04 11:32:21 PST 2016,Thu Feb 04 11:36:57 PST 2016,Fri Feb 05 04:21:51 PST 2016,,,,,[],"""CONDITION 1""",3.96625
0,panda,5,1,cute; big,cat,0.52,English,2,Female,33,,Yes,2,Windows,768,1366,Chrome,3BA7SXOG1JR4MBO5HTSOBIFYVDER86,3PSRKXHSTQG07PF46KI17KEWLPOJHH,Psychology study: Animals (metset),We are interested in people&quotechars knowledge of various subjects. This experiment should take around 10 minutes.,language research stanford fun cognitive science university psychology,$1.00,Thu Feb 04 11:32:19 PST 2016,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Sat Mar 05 11:32:19 PST 2016,https://requester.mturk.com/mturk/manageHIT?HITId=3BA7SXOG1JR4MBO5HTSOBIFYVDER86,3K9FOBBF2HKH94EP9DPCWNRHJR7NLN,0,Approved,Fri Feb 05 04:16:57 PST 2016,Thu Feb 04 11:32:21 PST 2016,Thu Feb 04 11:36:57 PST 2016,Fri Feb 05 04:21:51 PST 2016,,,,,[],"""CONDITION 1""",3.96625
0,panda,5,2,cute; small,cat,0.87,English,2,Female,33,,Yes,2,Windows,768,1366,Chrome,3BA7SXOG1JR4MBO5HTSOBIFYVDER86,3PSRKXHSTQG07PF46KI17KEWLPOJHH,Psychology study: Animals (metset),We are interested in people&quotechars knowledge of various subjects. This experiment should take around 10 minutes.,language research stanford fun cognitive science university psychology,$1.00,Thu Feb 04 11:32:19 PST 2016,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Sat Mar 05 11:32:19 PST 2016,https://requester.mturk.com/mturk/manageHIT?HITId=3BA7SXOG1JR4MBO5HTSOBIFYVDER86,3K9FOBBF2HKH94EP9DPCWNRHJR7NLN,0,Approved,Fri Feb 05 04:16:57 PST 2016,Thu Feb 04 11:32:21 PST 2016,Thu Feb 04 11:36:57 PST 2016,Fri Feb 05 04:21:51 PST 2016,,,,,[],"""CONDITION 1""",3.96625
0,panda,5,3,ugly; big,cat,0.21,English,2,Female,33,,Yes,2,Windows,768,1366,Chrome,3BA7SXOG1JR4MBO5HTSOBIFYVDER86,3PSRKXHSTQG07PF46KI17KEWLPOJHH,Psychology study: Animals (metset),We are interested in people&quotechars knowledge of various subjects. This experiment should take around 10 minutes.,language research stanford fun cognitive science university psychology,$1.00,Thu Feb 04 11:32:19 PST 2016,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Sat Mar 05 11:32:19 PST 2016,https://requester.mturk.com/mturk/manageHIT?HITId=3BA7SXOG1JR4MBO5HTSOBIFYVDER86,3K9FOBBF2HKH94EP9DPCWNRHJR7NLN,0,Approved,Fri Feb 05 04:16:57 PST 2016,Thu Feb 04 11:32:21 PST 2016,Thu Feb 04 11:36:57 PST 2016,Fri Feb 05 04:21:51 PST 2016,,,,,[],"""CONDITION 1""",3.96625
0,giraffe,8,3,petite; long,giraffe,0.13,English,2,Female,33,,Yes,2,Windows,768,1366,Chrome,3BA7SXOG1JR4MBO5HTSOBIFYVDER86,3PSRKXHSTQG07PF46KI17KEWLPOJHH,Psychology study: Animals (metset),We are interested in people&quotechars knowledge of various subjects. This experiment should take around 10 minutes.,language research stanford fun cognitive science university psychology,$1.00,Thu Feb 04 11:32:19 PST 2016,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Sat Mar 05 11:32:19 PST 2016,https://requester.mturk.com/mturk/manageHIT?HITId=3BA7SXOG1JR4MBO5HTSOBIFYVDER86,3K9FOBBF2HKH94EP9DPCWNRHJR7NLN,0,Approved,Fri Feb 05 04:16:57 PST 2016,Thu Feb 04 11:32:21 PST 2016,Thu Feb 04 11:36:57 PST 2016,Fri Feb 05 04:21:51 PST 2016,,,,,[],"""CONDITION 1""",3.96625
0,giraffe,8,1,tall; long,giraffe,0.84,English,2,Female,33,,Yes,2,Windows,768,1366,Chrome,3BA7SXOG1JR4MBO5HTSOBIFYVDER86,3PSRKXHSTQG07PF46KI17KEWLPOJHH,Psychology study: Animals (metset),We are interested in people&quotechars knowledge of various subjects. This experiment should take around 10 minutes.,language research stanford fun cognitive science university psychology,$1.00,Thu Feb 04 11:32:19 PST 2016,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Sat Mar 05 11:32:19 PST 2016,https://requester.mturk.com/mturk/manageHIT?HITId=3BA7SXOG1JR4MBO5HTSOBIFYVDER86,3K9FOBBF2HKH94EP9DPCWNRHJR7NLN,0,Approved,Fri Feb 05 04:16:57 PST 2016,Thu Feb 04 11:32:21 PST 2016,Thu Feb 04 11:36:57 PST 2016,Fri Feb 05 04:21:51 PST 2016,,,,,[],"""CONDITION 1""",3.96625
0,giraffe,8,2,tall; short,giraffe,0.1,English,2,Female,33,,Yes,2,Windows,768,1366,Chrome,3BA7SXOG1JR4MBO5HTSOBIFYVDER86,3PSRKXHSTQG07PF46KI17KEWLPOJHH,Psychology study: Animals (metset),We are interested in people&quotechars knowledge of various subjects. This experiment should take around 10 minutes.,language research stanford fun cognitive science university psychology,$1.00,Thu Feb 04 11:32:19 PST 2016,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Sat Mar 05 11:32:19 PST 2016,https://requester.mturk.com/mturk/manageHIT?HITId=3BA7SXOG1JR4MBO5HTSOBIFYVDER86,3K9FOBBF2HKH94EP9DPCWNRHJR7NLN,0,Approved,Fri Feb 05 04:16:57 PST 2016,Thu Feb 04 11:32:21 PST 2016,Thu Feb 04 11:36:57 PST 2016,Fri Feb 05 04:21:51 PST 2016,,,,,[],"""CONDITION 1""",3.96625
0,giraffe,8,4,petite; short,giraffe,0.11,English,2,Female,33,,Yes,2,Windows,768,1366,Chrome,3BA7SXOG1JR4MBO5HTSOBIFYVDER86,3PSRKXHSTQG07PF46KI17KEWLPOJHH,Psychology study: Animals (metset),We are interested in people&quotechars knowledge of various subjects. This experiment should take around 10 minutes.,language research stanford fun cognitive science university psychology,$1.00,Thu Feb 04 11:32:19 PST 2016,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Sat Mar 05 11:32:19 PST 2016,https://requester.mturk.com/mturk/manageHIT?HITId=3BA7SXOG1JR4MBO5HTSOBIFYVDER86,3K9FOBBF2HKH94EP9DPCWNRHJR7NLN,0,Approved,Fri Feb 05 04:16:57 PST 2016,Thu Feb 04 11:32:21 PST 2016,Thu Feb 04 11:36:57 PST 2016,Fri Feb 05 04:21:51 PST 2016,,,,,[],"""CONDITION 1""",3.96625
0,giraffe,8,1,tall; long,horse,0.88,English,2,Female,33,,Yes,2,Windows,768,1366,Chrome,3BA7SXOG1JR4MBO5HTSOBIFYVDER86,3PSRKXHSTQG07PF46KI17KEWLPOJHH,Psychology study: Animals (metset),We are interested in people&quotechars knowledge of various subjects. This experiment should take around 10 minutes.,language research stanford fun cognitive science university psychology,$1.00,Thu Feb 04 11:32:19 PST 2016,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Sat Mar 05 11:32:19 PST 2016,https://requester.mturk.com/mturk/manageHIT?HITId=3BA7SXOG1JR4MBO5HTSOBIFYVDER86,3K9FOBBF2HKH94EP9DPCWNRHJR7NLN,0,Approved,Fri Feb 05 04:16:57 PST 2016,Thu Feb 04 11:32:21 PST 2016,Thu Feb 04 11:36:57 PST 2016,Fri Feb 05 04:21:51 PST 2016,,,,,[],"""CONDITION 1""",3.96625
0,giraffe,8,4,petite; short,horse,0.39,English,2,Female,33,,Yes,2,Windows,768,1366,Chrome,3BA7SXOG1JR4MBO5HTSOBIFYVDER86,3PSRKXHSTQG07PF46KI17KEWLPOJHH,Psychology study: Animals (metset),We are interested in people&quotechars knowledge of various subjects. This experiment should take around 10 minutes.,language research stanford fun cognitive science university psychology,$1.00,Thu Feb 04 11:32:19 PST 2016,9,0,0,9,Reviewable,NotReviewed,1 cond,1800,60000,Sat Mar 05 11:32:19 PST 2016,https://requester.mturk.com/mturk/manageHIT?HITId=3BA7SXOG1JR4MBO5HTSOBIFYVDER86,3K9FOBBF2HKH94EP9DPCWNRHJR7NLN,0,Approved,Fri Feb 05 04:16:57 PST 2016,Thu Feb 04 11:32:21 PST 2016,Thu Feb 04 11:36:57 PST 2016,Fri Feb 05 04:21:51 PST 2016,,,,,[],"""CONDITION 1""",3.96625
