date,workerid,amount
Thu Feb 04 11:36:57 PST 2016,A2F79GFUWU5O96,1.0
Thu Feb 04 11:38:02 PST 2016,AHY3YAYJLTW32,1.0
Thu Feb 04 11:39:13 PST 2016,A2OS0VCSQLU3HE,1.0
Thu Feb 04 11:39:58 PST 2016,A35TWG9VW1MB5S,1.0
Thu Feb 04 11:43:11 PST 2016,A207IHY6GERCFO,1.0
Thu Feb 04 11:47:03 PST 2016,A1YM0IWPC72J7V,1.0
Thu Feb 04 11:50:33 PST 2016,A1W7QLLENVP2AE,1.0
Thu Feb 04 11:51:35 PST 2016,A36470UBRH28GO,1.0
Thu Feb 04 12:05:02 PST 2016,A29HUSCMP9TKWW,1.0
,total paid to workers:,=SUM(c2:c10)
,10% paid to Amazon:,=.1*c11
,total:,=SUM(c11:c12
