date,workerid,amount
Mon Feb 08 13:49:07 PST 2016,A2DPKKEEW2I6QK,0.5
Mon Feb 08 13:49:27 PST 2016,A17J1CE7N49Z9D,0.5
Mon Feb 08 13:50:03 PST 2016,A36Q8C9WIWVXZU,0.5
Mon Feb 08 13:50:55 PST 2016,A2KW26KE43UBRS,0.5
Mon Feb 08 13:51:18 PST 2016,A2PQHWG79HDCX6,0.5
Mon Feb 08 13:51:25 PST 2016,A11S8IAAVDXCUS,0.5
Mon Feb 08 13:51:46 PST 2016,A1C6BL1O5L5LA9,0.5
Mon Feb 08 13:53:24 PST 2016,AMPMTF5IAAMK8,0.5
Mon Feb 08 14:39:00 PST 2016,A142ZRU284W9O,0.5
,total paid to workers:,=SUM(c2:c10)
,10% paid to Amazon:,=.1*c11
,total:,=SUM(c11:c12
