date,workerid,amount
Mon Jan 25 15:02:46 PST 2016,A3R5MB6MJOZZ6T,1.0
Mon Jan 25 15:03:06 PST 2016,A273DS7TQWR9M1,1.0
Mon Jan 25 15:03:42 PST 2016,A11THU6UGG3THR,1.0
Mon Jan 25 15:07:47 PST 2016,A3R6Y1QF8TDU7P,1.0
Mon Jan 25 15:08:50 PST 2016,AK3H5QRAROFGP,1.0
Mon Jan 25 15:10:04 PST 2016,AJ34WB9Z37ILU,1.0
Mon Jan 25 15:13:47 PST 2016,A2541C8MY0BYV3,1.0
Mon Jan 25 15:18:26 PST 2016,A38DC3BG1ZCVZ2,1.0
Mon Jan 25 15:21:10 PST 2016,A2LS0IJ90DA0UY,1.0
,total paid to workers:,=SUM(c2:c10)
,10% paid to Amazon:,=.1*c11
,total:,=SUM(c11:c12
