date,workerid,amount
Tue Jan 26 10:13:59 PST 2016,A1LRJ4U04532TM,1.0
Tue Jan 26 10:14:10 PST 2016,AU849EHZNGV2Z,1.0
Tue Jan 26 10:14:29 PST 2016,A150GMV1YQWWB3,1.0
Tue Jan 26 10:19:01 PST 2016,A207IHY6GERCFO,1.0
Tue Jan 26 10:20:21 PST 2016,AHY3YAYJLTW32,1.0
Tue Jan 26 10:23:27 PST 2016,A13I8ASC3JQ04P,1.0
Tue Jan 26 10:46:37 PST 2016,A1A98K2NOI1QEC,1.0
Tue Jan 26 10:47:16 PST 2016,A3DDFEQ9K0H93C,1.0
Tue Jan 26 10:47:58 PST 2016,A2Q49PGT1MQAPI,1.0
,total paid to workers:,=SUM(c2:c10)
,10% paid to Amazon:,=.1*c11
,total:,=SUM(c11:c12
