workerid,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.time_in_minutes
0,33IXYHIZB5J4RSHBF6ZN2K3CQ302EV,37R8JAFGQ03JV9A2KOZBGZZYTTGJDL,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 8-10 minutes.,language research stanford fun cognitive science university psychology,$0.85,Thu Jun 04 10:36:05 PDT 2015,40,0,0,34,Reviewable,NotReviewed,1 cond,1800,60000,Sat Jul 04 10:36:05 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=33IXYHIZB5J4RSHBF6ZN2K3CQ302EV,3X65QVEQI0OYI0HYKNGYGCX586MLCM,0,Approved,Fri Jun 05 03:21:34 PDT 2015,Thu Jun 04 10:36:47 PDT 2015,Thu Jun 04 10:41:34 PDT 2015,Thu Jun 04 15:05:07 PDT 2015,,,,,4.711216666666667
1,33IXYHIZB5J4RSHBF6ZN2K3CQ302EV,37R8JAFGQ03JV9A2KOZBGZZYTTGJDL,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 8-10 minutes.,language research stanford fun cognitive science university psychology,$0.85,Thu Jun 04 10:36:05 PDT 2015,40,0,0,34,Reviewable,NotReviewed,1 cond,1800,60000,Sat Jul 04 10:36:05 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=33IXYHIZB5J4RSHBF6ZN2K3CQ302EV,3C6FJU71TQUE4T5XPTQO4QL7OLWUYW,1,Approved,Fri Jun 05 03:23:20 PDT 2015,Thu Jun 04 10:36:41 PDT 2015,Thu Jun 04 10:43:20 PDT 2015,Thu Jun 04 15:05:07 PDT 2015,,,,,5.721133333333333
2,33IXYHIZB5J4RSHBF6ZN2K3CQ302EV,37R8JAFGQ03JV9A2KOZBGZZYTTGJDL,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 8-10 minutes.,language research stanford fun cognitive science university psychology,$0.85,Thu Jun 04 10:36:05 PDT 2015,40,0,0,34,Reviewable,NotReviewed,1 cond,1800,60000,Sat Jul 04 10:36:05 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=33IXYHIZB5J4RSHBF6ZN2K3CQ302EV,3HUTX6F6VUOTQ3ST0M7KWGSDRKEO2X,2,Approved,Fri Jun 05 03:24:26 PDT 2015,Thu Jun 04 10:36:40 PDT 2015,Thu Jun 04 10:44:26 PDT 2015,Thu Jun 04 15:05:07 PDT 2015,,,,,6.649383333333334
3,33IXYHIZB5J4RSHBF6ZN2K3CQ302EV,37R8JAFGQ03JV9A2KOZBGZZYTTGJDL,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 8-10 minutes.,language research stanford fun cognitive science university psychology,$0.85,Thu Jun 04 10:36:05 PDT 2015,40,0,0,34,Reviewable,NotReviewed,1 cond,1800,60000,Sat Jul 04 10:36:05 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=33IXYHIZB5J4RSHBF6ZN2K3CQ302EV,3URFVVM165JE9JF2LFS7IXU9UF0UZN,3,Approved,Fri Jun 05 03:24:38 PDT 2015,Thu Jun 04 10:36:47 PDT 2015,Thu Jun 04 10:44:38 PDT 2015,Thu Jun 04 15:05:08 PDT 2015,,,,,7.804783333333333
4,33IXYHIZB5J4RSHBF6ZN2K3CQ302EV,37R8JAFGQ03JV9A2KOZBGZZYTTGJDL,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 8-10 minutes.,language research stanford fun cognitive science university psychology,$0.85,Thu Jun 04 10:36:05 PDT 2015,40,0,0,34,Reviewable,NotReviewed,1 cond,1800,60000,Sat Jul 04 10:36:05 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=33IXYHIZB5J4RSHBF6ZN2K3CQ302EV,3LYA37P8IQO4OP7ALN82QSE81LGKBA,4,Approved,Fri Jun 05 03:25:37 PDT 2015,Thu Jun 04 10:36:33 PDT 2015,Thu Jun 04 10:45:37 PDT 2015,Thu Jun 04 15:05:08 PDT 2015,,,,,8.9867
5,33IXYHIZB5J4RSHBF6ZN2K3CQ302EV,37R8JAFGQ03JV9A2KOZBGZZYTTGJDL,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 8-10 minutes.,language research stanford fun cognitive science university psychology,$0.85,Thu Jun 04 10:36:05 PDT 2015,40,0,0,34,Reviewable,NotReviewed,1 cond,1800,60000,Sat Jul 04 10:36:05 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=33IXYHIZB5J4RSHBF6ZN2K3CQ302EV,3Y5140Z9DXHFMOIW4P5R8W4KQL6PIP,5,Approved,Fri Jun 05 03:26:23 PDT 2015,Thu Jun 04 10:36:40 PDT 2015,Thu Jun 04 10:46:23 PDT 2015,Thu Jun 04 15:05:08 PDT 2015,,,,,7.732766666666667
6,33IXYHIZB5J4RSHBF6ZN2K3CQ302EV,37R8JAFGQ03JV9A2KOZBGZZYTTGJDL,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 8-10 minutes.,language research stanford fun cognitive science university psychology,$0.85,Thu Jun 04 10:36:05 PDT 2015,40,0,0,34,Reviewable,NotReviewed,1 cond,1800,60000,Sat Jul 04 10:36:05 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=33IXYHIZB5J4RSHBF6ZN2K3CQ302EV,3X4JMASXCMA2BZ06HUYK78ZZNNB0BL,6,Approved,Fri Jun 05 03:27:34 PDT 2015,Thu Jun 04 10:36:35 PDT 2015,Thu Jun 04 10:47:34 PDT 2015,Thu Jun 04 15:05:08 PDT 2015,,,,,7.538616666666667
7,33IXYHIZB5J4RSHBF6ZN2K3CQ302EV,37R8JAFGQ03JV9A2KOZBGZZYTTGJDL,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 8-10 minutes.,language research stanford fun cognitive science university psychology,$0.85,Thu Jun 04 10:36:05 PDT 2015,40,0,0,34,Reviewable,NotReviewed,1 cond,1800,60000,Sat Jul 04 10:36:05 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=33IXYHIZB5J4RSHBF6ZN2K3CQ302EV,3X4MXAO0BGPIZWIG6YDVEID76ESRWQ,7,Approved,Fri Jun 05 03:30:44 PDT 2015,Thu Jun 04 10:36:48 PDT 2015,Thu Jun 04 10:50:44 PDT 2015,Thu Jun 04 15:05:08 PDT 2015,,,,,11.279383333333334
8,33IXYHIZB5J4RSHBF6ZN2K3CQ302EV,37R8JAFGQ03JV9A2KOZBGZZYTTGJDL,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 8-10 minutes.,language research stanford fun cognitive science university psychology,$0.85,Thu Jun 04 10:36:05 PDT 2015,40,0,0,34,Reviewable,NotReviewed,1 cond,1800,60000,Sat Jul 04 10:36:05 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=33IXYHIZB5J4RSHBF6ZN2K3CQ302EV,333U7HK6I9G2S2ZCHYZWK32VPHTDJC,8,Approved,Fri Jun 05 03:32:21 PDT 2015,Thu Jun 04 10:36:43 PDT 2015,Thu Jun 04 10:52:21 PDT 2015,Thu Jun 04 15:05:08 PDT 2015,,,,,5.325683333333333
9,33IXYHIZB5J4RSHBF6ZN2K3CQ302EV,37R8JAFGQ03JV9A2KOZBGZZYTTGJDL,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 8-10 minutes.,language research stanford fun cognitive science university psychology,$0.85,Thu Jun 04 10:36:05 PDT 2015,40,0,0,34,Reviewable,NotReviewed,1 cond,1800,60000,Sat Jul 04 10:36:05 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=33IXYHIZB5J4RSHBF6ZN2K3CQ302EV,3R2PKQ87NW991LLJC9DZRSAPLGWIMN,9,Approved,Fri Jun 05 03:32:28 PDT 2015,Thu Jun 04 10:36:42 PDT 2015,Thu Jun 04 10:52:28 PDT 2015,Thu Jun 04 15:05:08 PDT 2015,,,,,11.079783333333333
