workerid,trial_type,animalID,feature,alternative,utterance,response
0,multi_slider,8,slithery,man,giraffe,0.4
0,multi_slider,8,slithery,giraffe,giraffe,0.67
0,multi_slider,8,slithery,horse,giraffe,0.29
0,multi_slider,8,slithery,snake,giraffe,0.89
0,multi_slider,8,slithery,average man,giraffe,0.79
0,multi_slider,8,fast,man,giraffe,0.55
0,multi_slider,8,fast,giraffe,giraffe,0.6
0,multi_slider,8,fast,horse,giraffe,0.78
0,multi_slider,8,fast,snake,giraffe,0.38
0,multi_slider,8,fast,average man,giraffe,0.22
0,multi_slider,8,tall,man,giraffe,0.68
0,multi_slider,8,tall,giraffe,giraffe,1
0,multi_slider,8,tall,horse,giraffe,0.83
0,multi_slider,8,tall,snake,giraffe,0.34
0,multi_slider,8,tall,average man,giraffe,0.6
0,multi_slider,8,strong,man,giraffe,0.47
0,multi_slider,8,strong,giraffe,giraffe,0.57
0,multi_slider,8,strong,horse,giraffe,0.92
0,multi_slider,8,strong,snake,giraffe,0.3
0,multi_slider,8,strong,average man,giraffe,0.43
0,multi_slider,8,long,man,giraffe,0.44
0,multi_slider,8,long,giraffe,giraffe,0.73
0,multi_slider,8,long,horse,giraffe,0.55
0,multi_slider,8,long,snake,giraffe,0.99
0,multi_slider,8,long,average man,giraffe,0.28
0,multi_slider,9,lazy,cheetah,cheetah,0.15
0,multi_slider,9,lazy,monkey,cheetah,0.45
0,multi_slider,9,lazy,deer,cheetah,0.74
0,multi_slider,9,lazy,average man,cheetah,0.9
0,multi_slider,9,lazy,cat,cheetah,0.82
0,multi_slider,9,lazy,jaguar,cheetah,0.23
0,multi_slider,9,lazy,man,cheetah,0.24
0,multi_slider,9,funny,cheetah,cheetah,0.5
0,multi_slider,9,funny,monkey,cheetah,0.82
0,multi_slider,9,funny,deer,cheetah,0.35
0,multi_slider,9,funny,average man,cheetah,0.64
0,multi_slider,9,funny,cat,cheetah,0.9
0,multi_slider,9,funny,jaguar,cheetah,0.52
0,multi_slider,9,funny,man,cheetah,0.52
0,multi_slider,9,fast,cheetah,cheetah,0.99
0,multi_slider,9,fast,monkey,cheetah,0.73
0,multi_slider,9,fast,deer,cheetah,0.79
0,multi_slider,9,fast,average man,cheetah,0.2
0,multi_slider,9,fast,cat,cheetah,0.61
0,multi_slider,9,fast,jaguar,cheetah,0.7
0,multi_slider,9,fast,man,cheetah,0.7
0,multi_slider,9,dumb,cheetah,cheetah,0.19
0,multi_slider,9,dumb,monkey,cheetah,0.78
0,multi_slider,9,dumb,deer,cheetah,1
0,multi_slider,9,dumb,average man,cheetah,0.7
0,multi_slider,9,dumb,cat,cheetah,0.26
0,multi_slider,9,dumb,jaguar,cheetah,0.24
0,multi_slider,9,dumb,man,cheetah,0.23
0,multi_slider,9,smart,cheetah,cheetah,0.81
0,multi_slider,9,smart,monkey,cheetah,0.62
0,multi_slider,9,smart,deer,cheetah,0.12
0,multi_slider,9,smart,average man,cheetah,0.71
0,multi_slider,9,smart,cat,cheetah,0.66
0,multi_slider,9,smart,jaguar,cheetah,0.66
0,multi_slider,9,smart,man,cheetah,0.63
0,multi_slider,9,cute,cheetah,cheetah,0.66
0,multi_slider,9,cute,monkey,cheetah,0.55
0,multi_slider,9,cute,deer,cheetah,0.19
0,multi_slider,9,cute,average man,cheetah,0.12
0,multi_slider,9,cute,cat,cheetah,0.99
0,multi_slider,9,cute,jaguar,cheetah,0.77
0,multi_slider,9,cute,man,cheetah,0.71
0,multi_slider,9,agile,cheetah,cheetah,0.99
0,multi_slider,9,agile,monkey,cheetah,0.84
0,multi_slider,9,agile,deer,cheetah,0.69
0,multi_slider,9,agile,average man,cheetah,0.41
0,multi_slider,9,agile,cat,cheetah,0.9
0,multi_slider,9,agile,jaguar,cheetah,0.89
0,multi_slider,9,agile,man,cheetah,0.89
0,multi_slider,9,sleek,cheetah,cheetah,0.89
0,multi_slider,9,sleek,monkey,cheetah,0.61
0,multi_slider,9,sleek,deer,cheetah,0.71
0,multi_slider,9,sleek,average man,cheetah,0.14
0,multi_slider,9,sleek,cat,cheetah,0.77
0,multi_slider,9,sleek,jaguar,cheetah,0.78
0,multi_slider,9,sleek,man,cheetah,0.77
0,multi_slider,4,hard,whale,elephant,0.21
0,multi_slider,4,hard,armadillo,elephant,0.83
0,multi_slider,4,hard,average man,elephant,0.47
0,multi_slider,4,hard,turtle,elephant,0.99
0,multi_slider,4,hard,elephant,elephant,0.67
0,multi_slider,4,hard,man,elephant,0.66
0,multi_slider,4,majestic,whale,elephant,0.73
0,multi_slider,4,majestic,armadillo,elephant,0.03
0,multi_slider,4,majestic,average man,elephant,0.1
0,multi_slider,4,majestic,turtle,elephant,0.11
0,multi_slider,4,majestic,elephant,elephant,0.59
0,multi_slider,4,majestic,man,elephant,0.58
0,multi_slider,4,slow,whale,elephant,0.06
0,multi_slider,4,slow,armadillo,elephant,0.89
0,multi_slider,4,slow,average man,elephant,0.79
0,multi_slider,4,slow,turtle,elephant,0.97
0,multi_slider,4,slow,elephant,elephant,0.73
0,multi_slider,4,slow,man,elephant,0.74
0,multi_slider,4,big,whale,elephant,0.98
0,multi_slider,4,big,armadillo,elephant,0.01
0,multi_slider,4,big,average man,elephant,0.5
0,multi_slider,4,big,turtle,elephant,0.14
0,multi_slider,4,big,elephant,elephant,0.9
0,multi_slider,4,big,man,elephant,0.88
0,multi_slider,4,strong,whale,elephant,0.91
0,multi_slider,4,strong,armadillo,elephant,0.03
0,multi_slider,4,strong,average man,elephant,0.28
0,multi_slider,4,strong,turtle,elephant,0.22
0,multi_slider,4,strong,elephant,elephant,0.81
0,multi_slider,4,strong,man,elephant,0.81
1,multi_slider,10,big,sloth,turtle,0.27
1,multi_slider,10,big,elephant,turtle,0.91
1,multi_slider,10,big,horse,turtle,0.53
1,multi_slider,10,big,gorilla,turtle,0.64
1,multi_slider,10,big,bear,turtle,0.72
1,multi_slider,10,big,turtle,turtle,0.2
1,multi_slider,10,big,average man,turtle,0.41
1,multi_slider,10,big,man,turtle,0.26
1,multi_slider,10,hairy,sloth,turtle,0.58
1,multi_slider,10,hairy,elephant,turtle,0.04
1,multi_slider,10,hairy,horse,turtle,0.39
1,multi_slider,10,hairy,gorilla,turtle,0.65
1,multi_slider,10,hairy,bear,turtle,0.57
1,multi_slider,10,hairy,turtle,turtle,0.02
