date,workerid,amount
Thu Jun 04 10:41:34 PDT 2015,A2R794P3E8X0MK,0.85
Thu Jun 04 10:43:20 PDT 2015,A1B4WL7N3ACF2T,0.85
Thu Jun 04 10:44:26 PDT 2015,A1KQWBK5WHCNYQ,0.85
Thu Jun 04 10:44:38 PDT 2015,ANKCM4EYXW96O,0.85
Thu Jun 04 10:45:37 PDT 2015,A38HODAQUKJKKS,0.85
Thu Jun 04 10:46:23 PDT 2015,A3OE7882P03XR4,0.85
Thu Jun 04 10:47:34 PDT 2015,A2541C8MY0BYV3,0.85
Thu Jun 04 10:50:44 PDT 2015,AG7K589T2CWFH,0.85
Thu Jun 04 10:52:21 PDT 2015,A2F79GFUWU5O96,0.85
Thu Jun 04 10:52:28 PDT 2015,AW0MG225VXWCN,0.85
Thu Jun 04 10:54:03 PDT 2015,A3QFR660T2UJBX,0.85
Thu Jun 04 10:55:10 PDT 2015,A3NM5SP9NZ9BOJ,0.85
Thu Jun 04 10:56:57 PDT 2015,A38VMTKS30TQZB,0.85
Thu Jun 04 10:57:03 PDT 2015,AEWGY34WUIA32,0.85
Thu Jun 04 11:02:34 PDT 2015,ACNID00UIEL1T,0.85
Thu Jun 04 11:03:14 PDT 2015,A35RGUQZRI1Q3M,0.85
Thu Jun 04 11:10:22 PDT 2015,AK467M5VTG7N4,0.85
Thu Jun 04 11:10:57 PDT 2015,A130UW3VJCW7A0,0.85
Thu Jun 04 11:23:24 PDT 2015,A2EEL9YYUHL5SK,0.85
Thu Jun 04 11:31:00 PDT 2015,AZIY6IFOS4CVC,0.85
Thu Jun 04 13:50:26 PDT 2015,A2JQR5BQRLVT1U,0.85
Thu Jun 04 13:50:29 PDT 2015,A1Q71TL2W0V6FE,0.85
Thu Jun 04 13:51:11 PDT 2015,A4FVM795PAEXA,0.85
Thu Jun 04 13:51:34 PDT 2015,A1A3TGZ7DKJWRW,0.85
Thu Jun 04 13:52:08 PDT 2015,A3JMWF2GPZULV6,0.85
Thu Jun 04 13:52:21 PDT 2015,ARTSG66V2MOJ6,0.85
Thu Jun 04 13:52:22 PDT 2015,AX5N0RGRVLUG4,0.85
Thu Jun 04 13:52:46 PDT 2015,A2RR3B1I2Z7NS7,0.85
Thu Jun 04 13:52:55 PDT 2015,A2TDGWWPX6IMIZ,0.85
Thu Jun 04 13:54:36 PDT 2015,A2G7N0X0PNX0EE,0.85
Thu Jun 04 13:54:46 PDT 2015,ACH70NP9QPQ48,0.85
Thu Jun 04 13:55:08 PDT 2015,A1CSDIX05PK9V,0.85
Thu Jun 04 13:57:11 PDT 2015,A1GFD4B3NOMWIY,0.85
Thu Jun 04 13:57:32 PDT 2015,A5DZDONM2Y082,0.85
Thu Jun 04 13:59:02 PDT 2015,A1GLF2427E02YG,0.85
Thu Jun 04 14:01:20 PDT 2015,A1N783M0TDDHQA,0.85
Thu Jun 04 14:03:03 PDT 2015,A3KVH7IYW9XEJX,0.85
Thu Jun 04 14:05:57 PDT 2015,A2NFKOH8HAAL1P,0.85
Thu Jun 04 14:09:49 PDT 2015,A13GNAYTZ7WAXG,0.85
Thu Jun 04 14:11:56 PDT 2015,A14HW0XMI4R2ON,0.85
,total paid to workers:,=SUM(c2:c41)
,10% paid to Amazon:,=.1*c42
,total:,=SUM(c42:c43
