workerid,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.time_in_minutes
0,3QREJ3J433YDEEVTLYSVFBFQH0ALKB,38ZP8AG6P1ZM94QNJ1J1WM9JNUPIW9,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 8-10 minutes.,language research stanford fun cognitive science university psychology,$0.80,Mon Jun 15 12:15:00 PDT 2015,40,0,0,20,Reviewable,NotReviewed,1 cond,1800,60000,Wed Jul 15 12:15:00 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=3QREJ3J433YDEEVTLYSVFBFQH0ALKB,3IOEN3P9S7KWCC4THMLCAXWHFAE165,0,Approved,Tue Jun 16 05:01:38 PDT 2015,Mon Jun 15 12:16:05 PDT 2015,Mon Jun 15 12:21:38 PDT 2015,Tue Jun 16 05:01:55 PDT 2015,,,,,5.502383333333333
1,3QREJ3J433YDEEVTLYSVFBFQH0ALKB,38ZP8AG6P1ZM94QNJ1J1WM9JNUPIW9,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 8-10 minutes.,language research stanford fun cognitive science university psychology,$0.80,Mon Jun 15 12:15:00 PDT 2015,40,0,0,20,Reviewable,NotReviewed,1 cond,1800,60000,Wed Jul 15 12:15:00 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=3QREJ3J433YDEEVTLYSVFBFQH0ALKB,3GU1KF0O4I25ZG4QYFDAM907WRVBP4,1,Approved,Tue Jun 16 05:02:45 PDT 2015,Mon Jun 15 12:16:06 PDT 2015,Mon Jun 15 12:22:45 PDT 2015,Tue Jun 16 05:06:52 PDT 2015,,,,,6.4141
2,3QREJ3J433YDEEVTLYSVFBFQH0ALKB,38ZP8AG6P1ZM94QNJ1J1WM9JNUPIW9,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 8-10 minutes.,language research stanford fun cognitive science university psychology,$0.80,Mon Jun 15 12:15:00 PDT 2015,40,0,0,20,Reviewable,NotReviewed,1 cond,1800,60000,Wed Jul 15 12:15:00 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=3QREJ3J433YDEEVTLYSVFBFQH0ALKB,3FTOP5WARFP8TIYI5MB15WICWORJ0P,2,Approved,Tue Jun 16 05:03:05 PDT 2015,Mon Jun 15 12:16:12 PDT 2015,Mon Jun 15 12:23:05 PDT 2015,Tue Jun 16 05:06:52 PDT 2015,,,,,6.819766666666666
3,3QREJ3J433YDEEVTLYSVFBFQH0ALKB,38ZP8AG6P1ZM94QNJ1J1WM9JNUPIW9,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 8-10 minutes.,language research stanford fun cognitive science university psychology,$0.80,Mon Jun 15 12:15:00 PDT 2015,40,0,0,20,Reviewable,NotReviewed,1 cond,1800,60000,Wed Jul 15 12:15:00 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=3QREJ3J433YDEEVTLYSVFBFQH0ALKB,3AWETUDC92T90SK2RY3TZU6Y1GLIZ4,3,Approved,Tue Jun 16 05:03:28 PDT 2015,Mon Jun 15 12:16:01 PDT 2015,Mon Jun 15 12:23:28 PDT 2015,Tue Jun 16 05:06:52 PDT 2015,,,,,7.378266666666667
4,3QREJ3J433YDEEVTLYSVFBFQH0ALKB,38ZP8AG6P1ZM94QNJ1J1WM9JNUPIW9,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 8-10 minutes.,language research stanford fun cognitive science university psychology,$0.80,Mon Jun 15 12:15:00 PDT 2015,40,0,0,20,Reviewable,NotReviewed,1 cond,1800,60000,Wed Jul 15 12:15:00 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=3QREJ3J433YDEEVTLYSVFBFQH0ALKB,39OWYR0EPKSPLB87U4VPIQK4FUPYF2,4,Approved,Tue Jun 16 05:03:34 PDT 2015,Mon Jun 15 12:16:05 PDT 2015,Mon Jun 15 12:23:34 PDT 2015,Tue Jun 16 05:06:52 PDT 2015,,,,,7.201233333333334
5,3QREJ3J433YDEEVTLYSVFBFQH0ALKB,38ZP8AG6P1ZM94QNJ1J1WM9JNUPIW9,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 8-10 minutes.,language research stanford fun cognitive science university psychology,$0.80,Mon Jun 15 12:15:00 PDT 2015,40,0,0,20,Reviewable,NotReviewed,1 cond,1800,60000,Wed Jul 15 12:15:00 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=3QREJ3J433YDEEVTLYSVFBFQH0ALKB,3ZV9H2YQQD8QGUXEV8CZWKAR1WKW3S,5,Approved,Tue Jun 16 05:04:30 PDT 2015,Mon Jun 15 12:15:56 PDT 2015,Mon Jun 15 12:24:30 PDT 2015,Tue Jun 16 05:06:52 PDT 2015,,,,,6.1692
6,3QREJ3J433YDEEVTLYSVFBFQH0ALKB,38ZP8AG6P1ZM94QNJ1J1WM9JNUPIW9,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 8-10 minutes.,language research stanford fun cognitive science university psychology,$0.80,Mon Jun 15 12:15:00 PDT 2015,40,0,0,20,Reviewable,NotReviewed,1 cond,1800,60000,Wed Jul 15 12:15:00 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=3QREJ3J433YDEEVTLYSVFBFQH0ALKB,3Q5C1WP23M20T84FC3B7IRIHJF315P,6,Approved,Tue Jun 16 05:05:00 PDT 2015,Mon Jun 15 12:16:01 PDT 2015,Mon Jun 15 12:25:00 PDT 2015,Tue Jun 16 05:06:52 PDT 2015,,,,,8.918116666666666
7,3QREJ3J433YDEEVTLYSVFBFQH0ALKB,38ZP8AG6P1ZM94QNJ1J1WM9JNUPIW9,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 8-10 minutes.,language research stanford fun cognitive science university psychology,$0.80,Mon Jun 15 12:15:00 PDT 2015,40,0,0,20,Reviewable,NotReviewed,1 cond,1800,60000,Wed Jul 15 12:15:00 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=3QREJ3J433YDEEVTLYSVFBFQH0ALKB,3BDCF01OGXVBL3I3GFYND3POCQBLYU,7,Approved,Tue Jun 16 05:05:33 PDT 2015,Mon Jun 15 12:16:02 PDT 2015,Mon Jun 15 12:25:33 PDT 2015,Tue Jun 16 05:06:52 PDT 2015,,,,,9.20705
8,3QREJ3J433YDEEVTLYSVFBFQH0ALKB,38ZP8AG6P1ZM94QNJ1J1WM9JNUPIW9,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 8-10 minutes.,language research stanford fun cognitive science university psychology,$0.80,Mon Jun 15 12:15:00 PDT 2015,40,0,0,20,Reviewable,NotReviewed,1 cond,1800,60000,Wed Jul 15 12:15:00 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=3QREJ3J433YDEEVTLYSVFBFQH0ALKB,39RP059MEHUZED7D6ZLI556CRMKBM8,8,Approved,Tue Jun 16 05:06:21 PDT 2015,Mon Jun 15 12:16:05 PDT 2015,Mon Jun 15 12:26:21 PDT 2015,Tue Jun 16 05:06:52 PDT 2015,,,,,9.977216666666667
9,3QREJ3J433YDEEVTLYSVFBFQH0ALKB,38ZP8AG6P1ZM94QNJ1J1WM9JNUPIW9,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 8-10 minutes.,language research stanford fun cognitive science university psychology,$0.80,Mon Jun 15 12:15:00 PDT 2015,40,0,0,20,Reviewable,NotReviewed,1 cond,1800,60000,Wed Jul 15 12:15:00 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=3QREJ3J433YDEEVTLYSVFBFQH0ALKB,3T3IWE1XG6OQVEZMYEJKM8W37UGQTZ,9,Approved,Tue Jun 16 05:06:29 PDT 2015,Mon Jun 15 12:22:31 PDT 2015,Mon Jun 15 12:26:29 PDT 2015,Tue Jun 16 05:06:53 PDT 2015,,,,,3.685
10,3QREJ3J433YDEEVTLYSVFBFQH0ALKB,38ZP8AG6P1ZM94QNJ1J1WM9JNUPIW9,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 8-10 minutes.,language research stanford fun cognitive science university psychology,$0.80,Mon Jun 15 12:15:00 PDT 2015,40,0,0,20,Reviewable,NotReviewed,1 cond,1800,60000,Wed Jul 15 12:15:00 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=3QREJ3J433YDEEVTLYSVFBFQH0ALKB,3L6L49WXW0YHL71YZLU9GPPKVZD455,10,Approved,Tue Jun 16 05:06:37 PDT 2015,Mon Jun 15 12:16:07 PDT 2015,Mon Jun 15 12:26:37 PDT 2015,Tue Jun 16 05:06:53 PDT 2015,,,,,7.190766666666667
