date,workerid,amount
Mon Jun 15 12:21:38 PDT 2015,A190VSP1NFNBR9,0.8
Mon Jun 15 12:22:45 PDT 2015,A3675LEANIPGBO,0.8
Mon Jun 15 12:23:05 PDT 2015,A1YGSYTOGXCQY7,0.8
Mon Jun 15 12:23:28 PDT 2015,AMG9Y1YLBTKIV,0.8
Mon Jun 15 12:23:34 PDT 2015,A1LAZ3AO0NYBC1,0.8
Mon Jun 15 12:24:30 PDT 2015,A90JBLDKW71DX,0.8
Mon Jun 15 12:25:00 PDT 2015,A3OE7882P03XR4,0.8
Mon Jun 15 12:25:33 PDT 2015,A1JQQLEYS6GO5A,0.8
Mon Jun 15 12:26:21 PDT 2015,A3HNEYFOIJWPH1,0.8
Mon Jun 15 12:26:29 PDT 2015,A3ODG942FG22PJ,0.8
Mon Jun 15 12:26:37 PDT 2015,A3RIBFIB7C8D20,0.8
Mon Jun 15 12:26:47 PDT 2015,A2MFQ11WV445GC,0.8
Mon Jun 15 12:30:03 PDT 2015,A2VDDES6LFZOFW,0.8
Mon Jun 15 12:32:54 PDT 2015,A38HODAQUKJKKS,0.8
Mon Jun 15 12:34:31 PDT 2015,AUAN582MLI96N,0.8
Mon Jun 15 12:37:16 PDT 2015,AM8OWAW9TUVLN,0.8
Mon Jun 15 12:42:38 PDT 2015,A1TIV52E0VUF9Y,0.8
Mon Jun 15 12:44:28 PDT 2015,A2UTDZAZV1DF0N,0.8
Mon Jun 15 12:56:28 PDT 2015,A2YUTQOY98KXY9,0.8
Mon Jun 15 13:03:35 PDT 2015,AG5HUGGUQADMK,0.8
Wed Jun 17 12:55:30 PDT 2015,A1U8QI4H4ND1FP,0.8
Wed Jun 17 12:55:37 PDT 2015,A3JXQ4WFIJSQ3D,0.8
Wed Jun 17 12:57:01 PDT 2015,A1A7U8TF7JAMGN,0.8
Wed Jun 17 12:58:21 PDT 2015,A21BLGOIG17C7U,0.8
Wed Jun 17 12:58:23 PDT 2015,AFHRMJIHMGLDE,0.8
Wed Jun 17 12:58:29 PDT 2015,A207149DHAS89K,0.8
Wed Jun 17 12:58:50 PDT 2015,A2GNFVZNWEIG2D,0.8
Wed Jun 17 12:58:50 PDT 2015,A2V80ROWO32YVO,0.8
Wed Jun 17 12:59:52 PDT 2015,A3ABPPT8K7YM31,0.8
Wed Jun 17 13:00:02 PDT 2015,AZ9BZONG644TU,0.8
Wed Jun 17 13:01:34 PDT 2015,A21ALC25A986U5,0.8
Wed Jun 17 13:01:49 PDT 2015,A1S3K7QTZ6RNAC,0.8
Wed Jun 17 13:02:01 PDT 2015,A39RGARQZH9C9J,0.8
Wed Jun 17 13:02:46 PDT 2015,AF147CO1FIFI7,0.8
Wed Jun 17 13:04:34 PDT 2015,A11S8IAAVDXCUS,0.8
Wed Jun 17 13:06:08 PDT 2015,ACIDGAHR0K1B5,0.8
Wed Jun 17 13:10:48 PDT 2015,AX79WWW8GXBAS,0.8
Wed Jun 17 13:15:08 PDT 2015,A2DXEPC4QFV4R1,0.8
Wed Jun 17 13:24:14 PDT 2015,A1JL8N1PWIFDH2,0.8
Wed Jun 17 13:42:15 PDT 2015,A3PUU1XU4C1A3V,0.8
,total paid to workers:,=SUM(c2:c41)
,10% paid to Amazon:,=.1*c42
,total:,=SUM(c42:c43
