workerid,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.catch_trials,Answer.condition,Answer.time_in_minutes
0,337F8MIIMZEF3GH4BDJWAAY6IMQ40P,3BRS3IGD6FW7AMPCEJ8ZNU3B6YERTO,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 10-12 minutes.,language research stanford fun cognitive science university psychology,$0.80,Tue Sep 01 07:12:45 PDT 2015,30,0,0,30,Reviewable,NotReviewed,1 cond,1800,60000,Thu Oct 01 07:12:45 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=337F8MIIMZEF3GH4BDJWAAY6IMQ40P,3X3OR7WPZZ1W6XRL3B0TEQ1MOJQ8L6,0,Approved,Tue Sep 01 23:55:24 PDT 2015,Tue Sep 01 07:12:59 PDT 2015,Tue Sep 01 07:15:24 PDT 2015,Tue Sep 01 23:57:03 PDT 2015,,,,,[],"""condition 2""",2.0315333333333334
1,337F8MIIMZEF3GH4BDJWAAY6IMQ40P,3BRS3IGD6FW7AMPCEJ8ZNU3B6YERTO,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 10-12 minutes.,language research stanford fun cognitive science university psychology,$0.80,Tue Sep 01 07:12:45 PDT 2015,30,0,0,30,Reviewable,NotReviewed,1 cond,1800,60000,Thu Oct 01 07:12:45 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=337F8MIIMZEF3GH4BDJWAAY6IMQ40P,3MAOD8E57QBC9YVENWS07HM4KNYXN4,1,Approved,Tue Sep 01 23:55:33 PDT 2015,Tue Sep 01 07:13:04 PDT 2015,Tue Sep 01 07:15:33 PDT 2015,Tue Sep 01 23:57:03 PDT 2015,,,,,[],"""condition 2""",2.4143166666666667
2,337F8MIIMZEF3GH4BDJWAAY6IMQ40P,3BRS3IGD6FW7AMPCEJ8ZNU3B6YERTO,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 10-12 minutes.,language research stanford fun cognitive science university psychology,$0.80,Tue Sep 01 07:12:45 PDT 2015,30,0,0,30,Reviewable,NotReviewed,1 cond,1800,60000,Thu Oct 01 07:12:45 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=337F8MIIMZEF3GH4BDJWAAY6IMQ40P,3WOKGM4L71HMUTPFLZ36DSZY0QJ0OS,2,Approved,Tue Sep 01 23:55:38 PDT 2015,Tue Sep 01 07:12:58 PDT 2015,Tue Sep 01 07:15:38 PDT 2015,Tue Sep 01 23:57:03 PDT 2015,,,,,[],"""condition 1""",2.6006
3,337F8MIIMZEF3GH4BDJWAAY6IMQ40P,3BRS3IGD6FW7AMPCEJ8ZNU3B6YERTO,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 10-12 minutes.,language research stanford fun cognitive science university psychology,$0.80,Tue Sep 01 07:12:45 PDT 2015,30,0,0,30,Reviewable,NotReviewed,1 cond,1800,60000,Thu Oct 01 07:12:45 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=337F8MIIMZEF3GH4BDJWAAY6IMQ40P,3R2PKQ87NW991LLJC9DZRSAPRKLIMQ,3,Approved,Tue Sep 01 23:55:45 PDT 2015,Tue Sep 01 07:13:04 PDT 2015,Tue Sep 01 07:15:45 PDT 2015,Tue Sep 01 23:57:04 PDT 2015,,,,,[],"""condition 2""",2.571633333333333
4,337F8MIIMZEF3GH4BDJWAAY6IMQ40P,3BRS3IGD6FW7AMPCEJ8ZNU3B6YERTO,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 10-12 minutes.,language research stanford fun cognitive science university psychology,$0.80,Tue Sep 01 07:12:45 PDT 2015,30,0,0,30,Reviewable,NotReviewed,1 cond,1800,60000,Thu Oct 01 07:12:45 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=337F8MIIMZEF3GH4BDJWAAY6IMQ40P,3RXCAC0YIRQGK5DKSK3D1YWES24G88,4,Approved,Tue Sep 01 23:55:55 PDT 2015,Tue Sep 01 07:13:03 PDT 2015,Tue Sep 01 07:15:55 PDT 2015,Tue Sep 01 23:57:04 PDT 2015,,,,,[],"""condition 1""",2.84525
5,337F8MIIMZEF3GH4BDJWAAY6IMQ40P,3BRS3IGD6FW7AMPCEJ8ZNU3B6YERTO,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 10-12 minutes.,language research stanford fun cognitive science university psychology,$0.80,Tue Sep 01 07:12:45 PDT 2015,30,0,0,30,Reviewable,NotReviewed,1 cond,1800,60000,Thu Oct 01 07:12:45 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=337F8MIIMZEF3GH4BDJWAAY6IMQ40P,3DYGAII7PL9S3M6FHXA0HYV6NZCPQV,5,Approved,Tue Sep 01 23:56:43 PDT 2015,Tue Sep 01 07:13:16 PDT 2015,Tue Sep 01 07:16:43 PDT 2015,Tue Sep 01 23:57:04 PDT 2015,,,,,[],"""condition 1""",3.3597166666666665
6,337F8MIIMZEF3GH4BDJWAAY6IMQ40P,3BRS3IGD6FW7AMPCEJ8ZNU3B6YERTO,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 10-12 minutes.,language research stanford fun cognitive science university psychology,$0.80,Tue Sep 01 07:12:45 PDT 2015,30,0,0,30,Reviewable,NotReviewed,1 cond,1800,60000,Thu Oct 01 07:12:45 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=337F8MIIMZEF3GH4BDJWAAY6IMQ40P,3DI28L7YXAF0PRX8N44AMLOU1GJE15,6,Approved,Tue Sep 01 23:56:58 PDT 2015,Tue Sep 01 07:12:59 PDT 2015,Tue Sep 01 07:16:58 PDT 2015,Wed Sep 02 00:02:01 PDT 2015,,,,,[],"""condition 2""",1.82515
7,337F8MIIMZEF3GH4BDJWAAY6IMQ40P,3BRS3IGD6FW7AMPCEJ8ZNU3B6YERTO,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 10-12 minutes.,language research stanford fun cognitive science university psychology,$0.80,Tue Sep 01 07:12:45 PDT 2015,30,0,0,30,Reviewable,NotReviewed,1 cond,1800,60000,Thu Oct 01 07:12:45 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=337F8MIIMZEF3GH4BDJWAAY6IMQ40P,304SM51WA352C8KIQWH4HE5IOJISB2,7,Approved,Tue Sep 01 23:57:45 PDT 2015,Tue Sep 01 07:13:00 PDT 2015,Tue Sep 01 07:17:45 PDT 2015,Wed Sep 02 00:02:01 PDT 2015,,,,,[],"""condition 2""",4.641966666666667
8,337F8MIIMZEF3GH4BDJWAAY6IMQ40P,3BRS3IGD6FW7AMPCEJ8ZNU3B6YERTO,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 10-12 minutes.,language research stanford fun cognitive science university psychology,$0.80,Tue Sep 01 07:12:45 PDT 2015,30,0,0,30,Reviewable,NotReviewed,1 cond,1800,60000,Thu Oct 01 07:12:45 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=337F8MIIMZEF3GH4BDJWAAY6IMQ40P,3VHHR074H3IS6JM2T68N0Q5RDZKL7W,8,Approved,Wed Sep 02 00:01:04 PDT 2015,Tue Sep 01 07:12:58 PDT 2015,Tue Sep 01 07:21:04 PDT 2015,Wed Sep 02 00:02:02 PDT 2015,,,,,[],"""condition 1""",4.25555
9,337F8MIIMZEF3GH4BDJWAAY6IMQ40P,3BRS3IGD6FW7AMPCEJ8ZNU3B6YERTO,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 10-12 minutes.,language research stanford fun cognitive science university psychology,$0.80,Tue Sep 01 07:12:45 PDT 2015,30,0,0,30,Reviewable,NotReviewed,1 cond,1800,60000,Thu Oct 01 07:12:45 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=337F8MIIMZEF3GH4BDJWAAY6IMQ40P,3RU7GD8VPOU4G2LS91Z5CYA75NXPSK,9,Approved,Wed Sep 02 00:01:04 PDT 2015,Tue Sep 01 07:13:26 PDT 2015,Tue Sep 01 07:21:04 PDT 2015,Wed Sep 02 00:02:01 PDT 2015,,,,,[],"""condition 2""",7.314783333333334
