workerid,OS,screenH,screenW,Browser
0,Windows,768,1366,Chrome
1,Windows,1080,1920,Chrome
2,Windows,768,1366,Chrome
3,Windows,900,1600,Chrome
4,Mac,800,1280,Safari
5,Windows,900,1600,Firefox
6,Windows,1200,1920,Chrome
7,Mac,800,1280,Chrome
8,Windows,1080,1920,Chrome
9,Windows,960,1280,Chrome
10,Windows,704,939,Firefox
11,Windows,1080,1920,Chrome
12,Windows,768,1368,Chrome
13,Windows,1080,1920,Firefox
14,Windows,1080,1920,Chrome
15,Windows,900,1600,Chrome
16,Windows,900,1600,Firefox
17,Windows,667,1067,Firefox
18,Windows,768,1366,Chrome
19,Windows,1024,1280,Chrome
20,Windows,1080,1920,Chrome
21,Windows,900,1440,Chrome
22,Mac,800,1280,Chrome
23,Windows,1050,1680,Chrome
24,Windows,900,1440,Firefox
25,Windows,1050,1680,Chrome
26,Windows,900,1600,Chrome
27,Windows,900,1600,Chrome
28,Windows,768,1366,Chrome
29,Windows,900,1600,Chrome
