workerid,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.catch_trials,Answer.condition,Answer.time_in_minutes
0,3FTID4TN8LZ8YJKAPDTMOJU1E1MLYG,38ZP8AG6P1ZM94QNJ1J1WM9JNUPIW9,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 8-10 minutes.,language research stanford fun cognitive science university psychology,$0.80,Wed May 06 10:46:24 PDT 2015,20,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Fri Jun 05 10:46:24 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=3FTID4TN8LZ8YJKAPDTMOJU1E1MLYG,3RRCEFRB7MDJANI70VLMJBPC3MP4BC,0,Submitted,Thu May 07 03:28:43 PDT 2015,Wed May 06 10:47:19 PDT 2015,Wed May 06 10:48:43 PDT 2015,,,,,,[],"""condition 2""",1.3548333333333333
1,3FTID4TN8LZ8YJKAPDTMOJU1E1MLYG,38ZP8AG6P1ZM94QNJ1J1WM9JNUPIW9,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 8-10 minutes.,language research stanford fun cognitive science university psychology,$0.80,Wed May 06 10:46:24 PDT 2015,20,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Fri Jun 05 10:46:24 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=3FTID4TN8LZ8YJKAPDTMOJU1E1MLYG,3A1PQ49WVHIC91OAD5CG7OL7MFK1HC,1,Submitted,Thu May 07 03:29:06 PDT 2015,Wed May 06 10:47:25 PDT 2015,Wed May 06 10:49:06 PDT 2015,,,,,,[],"""condition 2""",1.6555166666666667
2,3FTID4TN8LZ8YJKAPDTMOJU1E1MLYG,38ZP8AG6P1ZM94QNJ1J1WM9JNUPIW9,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 8-10 minutes.,language research stanford fun cognitive science university psychology,$0.80,Wed May 06 10:46:24 PDT 2015,20,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Fri Jun 05 10:46:24 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=3FTID4TN8LZ8YJKAPDTMOJU1E1MLYG,3DI28L7YXAF0PRX8N44AMLOUUZS1EW,2,Submitted,Thu May 07 03:29:13 PDT 2015,Wed May 06 10:47:11 PDT 2015,Wed May 06 10:49:13 PDT 2015,,,,,,[],"""condition 1""",1.9998666666666667
3,3FTID4TN8LZ8YJKAPDTMOJU1E1MLYG,38ZP8AG6P1ZM94QNJ1J1WM9JNUPIW9,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 8-10 minutes.,language research stanford fun cognitive science university psychology,$0.80,Wed May 06 10:46:24 PDT 2015,20,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Fri Jun 05 10:46:24 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=3FTID4TN8LZ8YJKAPDTMOJU1E1MLYG,340UGXU9DY2X0ZASKI34XRHD5RTUVV,3,Submitted,Thu May 07 03:29:58 PDT 2015,Wed May 06 10:47:15 PDT 2015,Wed May 06 10:49:58 PDT 2015,,,,,,[],"""condition 2""",1.9861333333333333
4,3FTID4TN8LZ8YJKAPDTMOJU1E1MLYG,38ZP8AG6P1ZM94QNJ1J1WM9JNUPIW9,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 8-10 minutes.,language research stanford fun cognitive science university psychology,$0.80,Wed May 06 10:46:24 PDT 2015,20,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Fri Jun 05 10:46:24 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=3FTID4TN8LZ8YJKAPDTMOJU1E1MLYG,3SKRO2GZ71S3BRPIJQFDKG1ZEWOK1Z,4,Submitted,Thu May 07 03:30:19 PDT 2015,Wed May 06 10:47:12 PDT 2015,Wed May 06 10:50:19 PDT 2015,,,,,,[],"""condition 2""",3.0644833333333334
5,3FTID4TN8LZ8YJKAPDTMOJU1E1MLYG,38ZP8AG6P1ZM94QNJ1J1WM9JNUPIW9,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 8-10 minutes.,language research stanford fun cognitive science university psychology,$0.80,Wed May 06 10:46:24 PDT 2015,20,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Fri Jun 05 10:46:24 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=3FTID4TN8LZ8YJKAPDTMOJU1E1MLYG,3M23Y66PO28W6W3NU50W6YJQ31HS6M,5,Submitted,Thu May 07 03:30:21 PDT 2015,Wed May 06 10:47:19 PDT 2015,Wed May 06 10:50:21 PDT 2015,,,,,,[],"""condition 2""",2.5757166666666667
6,3FTID4TN8LZ8YJKAPDTMOJU1E1MLYG,38ZP8AG6P1ZM94QNJ1J1WM9JNUPIW9,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 8-10 minutes.,language research stanford fun cognitive science university psychology,$0.80,Wed May 06 10:46:24 PDT 2015,20,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Fri Jun 05 10:46:24 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=3FTID4TN8LZ8YJKAPDTMOJU1E1MLYG,3K3R2QNK8B4Z3SXPHHY859SGEZA9UU,6,Submitted,Thu May 07 03:31:07 PDT 2015,Wed May 06 10:47:24 PDT 2015,Wed May 06 10:51:07 PDT 2015,,,,,,[],"""condition 2""",3.6784333333333334
7,3FTID4TN8LZ8YJKAPDTMOJU1E1MLYG,38ZP8AG6P1ZM94QNJ1J1WM9JNUPIW9,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 8-10 minutes.,language research stanford fun cognitive science university psychology,$0.80,Wed May 06 10:46:24 PDT 2015,20,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Fri Jun 05 10:46:24 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=3FTID4TN8LZ8YJKAPDTMOJU1E1MLYG,3RSDURM96ANXFX8BZTBJ08Z41K1EY7,7,Submitted,Thu May 07 03:31:43 PDT 2015,Wed May 06 10:47:18 PDT 2015,Wed May 06 10:51:43 PDT 2015,,,,,,[],"""condition 2""",4.347433333333333
8,3FTID4TN8LZ8YJKAPDTMOJU1E1MLYG,38ZP8AG6P1ZM94QNJ1J1WM9JNUPIW9,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 8-10 minutes.,language research stanford fun cognitive science university psychology,$0.80,Wed May 06 10:46:24 PDT 2015,20,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Fri Jun 05 10:46:24 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=3FTID4TN8LZ8YJKAPDTMOJU1E1MLYG,3SNVL38CI4TNYUZGZN4X1CKQITFCKH,8,Submitted,Thu May 07 03:31:56 PDT 2015,Wed May 06 10:47:14 PDT 2015,Wed May 06 10:51:56 PDT 2015,,,,,,[],"""condition 1""",4.042033333333333
9,3FTID4TN8LZ8YJKAPDTMOJU1E1MLYG,38ZP8AG6P1ZM94QNJ1J1WM9JNUPIW9,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 8-10 minutes.,language research stanford fun cognitive science university psychology,$0.80,Wed May 06 10:46:24 PDT 2015,20,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Fri Jun 05 10:46:24 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=3FTID4TN8LZ8YJKAPDTMOJU1E1MLYG,3NAPMVF0ZWGM5X0UJ0QILU6I0I272X,9,Submitted,Thu May 07 03:32:04 PDT 2015,Wed May 06 10:47:23 PDT 2015,Wed May 06 10:52:04 PDT 2015,,,,,,[],"""condition 2""",2.892
10,3FTID4TN8LZ8YJKAPDTMOJU1E1MLYG,38ZP8AG6P1ZM94QNJ1J1WM9JNUPIW9,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 8-10 minutes.,language research stanford fun cognitive science university psychology,$0.80,Wed May 06 10:46:24 PDT 2015,20,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Fri Jun 05 10:46:24 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=3FTID4TN8LZ8YJKAPDTMOJU1E1MLYG,3KKG4CDWKIZ0MU3A2B7QS5UMFMM492,10,Submitted,Thu May 07 03:32:11 PDT 2015,Wed May 06 10:47:16 PDT 2015,Wed May 06 10:52:11 PDT 2015,,,,,,[],"""condition 1""",4.804966666666667
11,3FTID4TN8LZ8YJKAPDTMOJU1E1MLYG,38ZP8AG6P1ZM94QNJ1J1WM9JNUPIW9,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 8-10 minutes.,language research stanford fun cognitive science university psychology,$0.80,Wed May 06 10:46:24 PDT 2015,20,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Fri Jun 05 10:46:24 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=3FTID4TN8LZ8YJKAPDTMOJU1E1MLYG,3GGAI1SQEVZIOIZJKZHDGPCU7YACMM,11,Submitted,Thu May 07 03:33:13 PDT 2015,Wed May 06 10:47:30 PDT 2015,Wed May 06 10:53:13 PDT 2015,,,,,,[],"""condition 1""",2.7753666666666668
12,3FTID4TN8LZ8YJKAPDTMOJU1E1MLYG,38ZP8AG6P1ZM94QNJ1J1WM9JNUPIW9,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 8-10 minutes.,language research stanford fun cognitive science university psychology,$0.80,Wed May 06 10:46:24 PDT 2015,20,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Fri Jun 05 10:46:24 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=3FTID4TN8LZ8YJKAPDTMOJU1E1MLYG,3X65QVEQI0OYI0HYKNGYGCX57TKCLK,12,Submitted,Thu May 07 03:35:20 PDT 2015,Wed May 06 10:47:17 PDT 2015,Wed May 06 10:55:20 PDT 2015,,,,,,[],"""condition 2""",8.01885
13,3FTID4TN8LZ8YJKAPDTMOJU1E1MLYG,38ZP8AG6P1ZM94QNJ1J1WM9JNUPIW9,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 8-10 minutes.,language research stanford fun cognitive science university psychology,$0.80,Wed May 06 10:46:24 PDT 2015,20,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Fri Jun 05 10:46:24 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=3FTID4TN8LZ8YJKAPDTMOJU1E1MLYG,36V4Q8R5ZK1MIJ92PHI80U1BBDBMQ1,13,Submitted,Thu May 07 03:36:41 PDT 2015,Wed May 06 10:47:19 PDT 2015,Wed May 06 10:56:41 PDT 2015,,,,,,[],"""condition 1""",2.53085
14,3FTID4TN8LZ8YJKAPDTMOJU1E1MLYG,38ZP8AG6P1ZM94QNJ1J1WM9JNUPIW9,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 8-10 minutes.,language research stanford fun cognitive science university psychology,$0.80,Wed May 06 10:46:24 PDT 2015,20,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Fri Jun 05 10:46:24 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=3FTID4TN8LZ8YJKAPDTMOJU1E1MLYG,3RXPCZQMQPCY95TZTZUYMO967F71GD,14,Submitted,Thu May 07 03:36:45 PDT 2015,Wed May 06 10:47:18 PDT 2015,Wed May 06 10:56:45 PDT 2015,,,,,,[],"""condition 2""",1.8759166666666667
15,3FTID4TN8LZ8YJKAPDTMOJU1E1MLYG,38ZP8AG6P1ZM94QNJ1J1WM9JNUPIW9,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 8-10 minutes.,language research stanford fun cognitive science university psychology,$0.80,Wed May 06 10:46:24 PDT 2015,20,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Fri Jun 05 10:46:24 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=3FTID4TN8LZ8YJKAPDTMOJU1E1MLYG,3VELCLL3GKKSV5X4IFOG439U607F1S,15,Submitted,Thu May 07 03:37:31 PDT 2015,Wed May 06 10:47:25 PDT 2015,Wed May 06 10:57:31 PDT 2015,,,,,,[],"""condition 1""",10.0644
16,3FTID4TN8LZ8YJKAPDTMOJU1E1MLYG,38ZP8AG6P1ZM94QNJ1J1WM9JNUPIW9,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 8-10 minutes.,language research stanford fun cognitive science university psychology,$0.80,Wed May 06 10:46:24 PDT 2015,20,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Fri Jun 05 10:46:24 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=3FTID4TN8LZ8YJKAPDTMOJU1E1MLYG,3U5NZHP4LR3FQT7CY7N68K35PVQPH4,16,Submitted,Thu May 07 03:38:34 PDT 2015,Wed May 06 10:47:20 PDT 2015,Wed May 06 10:58:34 PDT 2015,,,,,,[],"""condition 1""",1.6329833333333332
17,3FTID4TN8LZ8YJKAPDTMOJU1E1MLYG,38ZP8AG6P1ZM94QNJ1J1WM9JNUPIW9,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 8-10 minutes.,language research stanford fun cognitive science university psychology,$0.80,Wed May 06 10:46:24 PDT 2015,20,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Fri Jun 05 10:46:24 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=3FTID4TN8LZ8YJKAPDTMOJU1E1MLYG,3OCHAWUVGOLB1SABQJ0KFP50JB3XK4,17,Submitted,Thu May 07 03:42:29 PDT 2015,Wed May 06 10:47:04 PDT 2015,Wed May 06 11:02:29 PDT 2015,,,,,,[],"""condition 1""",2.3451
18,3FTID4TN8LZ8YJKAPDTMOJU1E1MLYG,38ZP8AG6P1ZM94QNJ1J1WM9JNUPIW9,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 8-10 minutes.,language research stanford fun cognitive science university psychology,$0.80,Wed May 06 10:46:24 PDT 2015,20,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Fri Jun 05 10:46:24 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=3FTID4TN8LZ8YJKAPDTMOJU1E1MLYG,3KGTPGBS6XMO38CQW8JTVMK28T12UW,18,Submitted,Thu May 07 03:43:41 PDT 2015,Wed May 06 10:47:15 PDT 2015,Wed May 06 11:03:41 PDT 2015,,,,,,[],"""condition 1""",1.8711333333333333
19,3FTID4TN8LZ8YJKAPDTMOJU1E1MLYG,38ZP8AG6P1ZM94QNJ1J1WM9JNUPIW9,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 8-10 minutes.,language research stanford fun cognitive science university psychology,$0.80,Wed May 06 10:46:24 PDT 2015,20,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Fri Jun 05 10:46:24 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=3FTID4TN8LZ8YJKAPDTMOJU1E1MLYG,3QILPRALQ5WMUXU6FOG8RI5BMX88NL,19,Submitted,Thu May 07 04:31:39 PDT 2015,Wed May 06 11:49:49 PDT 2015,Wed May 06 11:51:39 PDT 2015,,,,,,[],"""condition 2""",1.8049166666666667
