workerid,OS,screenH,screenW,Browser
0,Windows,1080,1920,Chrome
1,Mac,1440,2560,Safari
2,Windows,1080,1920,Chrome
3,Windows,768,1366,Chrome
4,Windows,1080,1920,Chrome
5,Windows,828,1472,Firefox
6,Windows,1050,1680,Chrome
7,Windows,768,1366,Chrome
8,Windows,576,1024,Chrome
9,Windows,1080,1920,Chrome
10,Windows,800,1280,Chrome
11,Windows,1080,1920,Firefox
12,Windows,1080,1920,Chrome
13,Windows,1080,1920,Firefox
14,Windows,768,1366,Chrome
15,Windows,1024,1280,Chrome
16,Windows,1200,1920,Chrome
17,Windows,1080,1920,Firefox
18,Windows,900,1600,Chrome
19,Mac,810,1296,Firefox
