workerid,trial_type,animalID,response,animal,feature
0,multi_slider,9,0.69,cheetah,fast
0,multi_slider,9,0.72,cheetah,agile
0,multi_slider,1,0.78,ant,small
0,multi_slider,1,0.43,ant,industrious
0,multi_slider,5,0.75,panda,cute
0,multi_slider,5,0.3,panda,big
0,multi_slider,7,0.51,penguin,funny
0,multi_slider,7,0.68,penguin,cute
0,multi_slider,11,0.71,lion,strong
0,multi_slider,11,0.78,lion,fierce
0,multi_slider,10,0.76,turtle,slow
0,multi_slider,10,0.45,turtle,strong
0,multi_slider,4,0.84,elephant,big
0,multi_slider,4,0.49,elephant,hard
0,multi_slider,3,0.79,bird,small
0,multi_slider,3,0.47,bird,fast
0,multi_slider,8,0.75,giraffe,tall
0,multi_slider,8,0.63,giraffe,long
0,multi_slider,12,0.7,rabbit,cute
0,multi_slider,12,0.5,rabbit,fast
1,multi_slider,3,0.48,bird,small
1,multi_slider,3,0.48,bird,fast
1,multi_slider,2,0.48,whale,big
1,multi_slider,2,0.4,whale,majestic
1,multi_slider,5,0.5,panda,big
1,multi_slider,5,0.5,panda,cute
1,multi_slider,6,0.49,monkey,funny
1,multi_slider,6,0.46,monkey,smart
1,multi_slider,11,0.5,lion,strong
1,multi_slider,11,0.48,lion,fierce
1,multi_slider,4,0.51,elephant,hard
1,multi_slider,4,0.55,elephant,big
1,multi_slider,7,0.49,penguin,cute
1,multi_slider,7,0.49,penguin,funny
1,multi_slider,8,0.5,giraffe,long
1,multi_slider,8,0.56,giraffe,tall
1,multi_slider,1,0.44,ant,industrious
1,multi_slider,1,0.48,ant,small
1,multi_slider,12,0.51,rabbit,cute
1,multi_slider,12,0.55,rabbit,fast
2,multi_slider,6,0.2,monkey,smart
2,multi_slider,6,0.55,monkey,funny
2,multi_slider,8,0.23,giraffe,long
2,multi_slider,8,0.91,giraffe,tall
2,multi_slider,11,0.92,lion,fierce
2,multi_slider,11,0.66,lion,strong
2,multi_slider,4,0.15,elephant,hard
2,multi_slider,4,0.94,elephant,big
2,multi_slider,12,0.87,rabbit,fast
2,multi_slider,12,0.66,rabbit,cute
2,multi_slider,2,0.05,whale,majestic
2,multi_slider,2,0.96,whale,big
2,multi_slider,10,0.14,turtle,strong
2,multi_slider,10,0.93,turtle,slow
2,multi_slider,7,0.53,penguin,funny
2,multi_slider,7,0.57,penguin,cute
