workerid,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.catch_trials,Answer.condition,Answer.time_in_minutes
0,37OPIVELUU45G53HIM08T5JNUUNHAA,3VL3OSLWYGZFCC4PWPUDIK69C4OG1G,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 6-8 minutes.,language research stanford fun cognitive science university psychology,$0.60,Thu May 07 10:32:52 PDT 2015,20,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sat Jun 06 10:32:52 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=37OPIVELUU45G53HIM08T5JNUUNHAA,3ERMJ6L4DYTCC14NTI9203KG6PM7MV,0,Submitted,Fri May 08 03:18:30 PDT 2015,Thu May 07 10:33:39 PDT 2015,Thu May 07 10:38:30 PDT 2015,,,,,,[],"""condition 1""",4.224916666666667
1,37OPIVELUU45G53HIM08T5JNUUNHAA,3VL3OSLWYGZFCC4PWPUDIK69C4OG1G,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 6-8 minutes.,language research stanford fun cognitive science university psychology,$0.60,Thu May 07 10:32:52 PDT 2015,20,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sat Jun 06 10:32:52 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=37OPIVELUU45G53HIM08T5JNUUNHAA,3LJ7UR74RHELBW743LQVA6P6KD64N8,1,Submitted,Fri May 08 03:19:13 PDT 2015,Thu May 07 10:33:43 PDT 2015,Thu May 07 10:39:13 PDT 2015,,,,,,[],"""condition 1""",5.462116666666667
2,37OPIVELUU45G53HIM08T5JNUUNHAA,3VL3OSLWYGZFCC4PWPUDIK69C4OG1G,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 6-8 minutes.,language research stanford fun cognitive science university psychology,$0.60,Thu May 07 10:32:52 PDT 2015,20,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sat Jun 06 10:32:52 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=37OPIVELUU45G53HIM08T5JNUUNHAA,3ZDAD0O1T1EA4B0YKSECGGSW2QXXTH,2,Submitted,Fri May 08 03:19:28 PDT 2015,Thu May 07 10:33:38 PDT 2015,Thu May 07 10:39:28 PDT 2015,,,,,,[],"""condition 1""",5.396966666666667
3,37OPIVELUU45G53HIM08T5JNUUNHAA,3VL3OSLWYGZFCC4PWPUDIK69C4OG1G,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 6-8 minutes.,language research stanford fun cognitive science university psychology,$0.60,Thu May 07 10:32:52 PDT 2015,20,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sat Jun 06 10:32:52 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=37OPIVELUU45G53HIM08T5JNUUNHAA,32SVAV9L3FAT9HUBU3G7EVD076BA39,3,Submitted,Fri May 08 03:19:43 PDT 2015,Thu May 07 10:33:29 PDT 2015,Thu May 07 10:39:43 PDT 2015,,,,,,[],"""condition 1""",6.200633333333333
4,37OPIVELUU45G53HIM08T5JNUUNHAA,3VL3OSLWYGZFCC4PWPUDIK69C4OG1G,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 6-8 minutes.,language research stanford fun cognitive science university psychology,$0.60,Thu May 07 10:32:52 PDT 2015,20,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sat Jun 06 10:32:52 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=37OPIVELUU45G53HIM08T5JNUUNHAA,304SM51WA352C8KIQWH4HE5IH4VSBE,4,Submitted,Fri May 08 03:20:13 PDT 2015,Thu May 07 10:33:26 PDT 2015,Thu May 07 10:40:13 PDT 2015,,,,,,[],"""condition 1""",4.264166666666667
5,37OPIVELUU45G53HIM08T5JNUUNHAA,3VL3OSLWYGZFCC4PWPUDIK69C4OG1G,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 6-8 minutes.,language research stanford fun cognitive science university psychology,$0.60,Thu May 07 10:32:52 PDT 2015,20,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sat Jun 06 10:32:52 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=37OPIVELUU45G53HIM08T5JNUUNHAA,3BEFOD78W6UFTEM4RKBVXR06FNW4M8,5,Submitted,Fri May 08 03:22:30 PDT 2015,Thu May 07 10:33:20 PDT 2015,Thu May 07 10:42:30 PDT 2015,,,,,,[],"""condition 2""",4.517916666666666
6,37OPIVELUU45G53HIM08T5JNUUNHAA,3VL3OSLWYGZFCC4PWPUDIK69C4OG1G,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 6-8 minutes.,language research stanford fun cognitive science university psychology,$0.60,Thu May 07 10:32:52 PDT 2015,20,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sat Jun 06 10:32:52 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=37OPIVELUU45G53HIM08T5JNUUNHAA,3HWRJOOET530JBW20NJUIMB3K18ES0,6,Submitted,Fri May 08 03:24:20 PDT 2015,Thu May 07 10:33:42 PDT 2015,Thu May 07 10:44:20 PDT 2015,,,,,,[],"""condition 2""",10.533133333333334
7,37OPIVELUU45G53HIM08T5JNUUNHAA,3VL3OSLWYGZFCC4PWPUDIK69C4OG1G,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 6-8 minutes.,language research stanford fun cognitive science university psychology,$0.60,Thu May 07 10:32:52 PDT 2015,20,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sat Jun 06 10:32:52 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=37OPIVELUU45G53HIM08T5JNUUNHAA,3A1COHJ8NJWUK18VCQLVMY8F0NU8HB,7,Submitted,Fri May 08 03:25:50 PDT 2015,Thu May 07 10:35:24 PDT 2015,Thu May 07 10:45:50 PDT 2015,,,,,,[],"""condition 1""",10.37005
8,37OPIVELUU45G53HIM08T5JNUUNHAA,3VL3OSLWYGZFCC4PWPUDIK69C4OG1G,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 6-8 minutes.,language research stanford fun cognitive science university psychology,$0.60,Thu May 07 10:32:52 PDT 2015,20,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sat Jun 06 10:32:52 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=37OPIVELUU45G53HIM08T5JNUUNHAA,33CID57104UA50LFRU5XN9TB1IB3LL,8,Submitted,Fri May 08 03:29:43 PDT 2015,Thu May 07 10:40:47 PDT 2015,Thu May 07 10:49:43 PDT 2015,,,,,,[],"""condition 1""",7.1575
9,37OPIVELUU45G53HIM08T5JNUUNHAA,3VL3OSLWYGZFCC4PWPUDIK69C4OG1G,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 6-8 minutes.,language research stanford fun cognitive science university psychology,$0.60,Thu May 07 10:32:52 PDT 2015,20,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sat Jun 06 10:32:52 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=37OPIVELUU45G53HIM08T5JNUUNHAA,3570Y55XZPKVZB425O170BKGE2JYGF,9,Submitted,Fri May 08 03:30:49 PDT 2015,Thu May 07 10:42:20 PDT 2015,Thu May 07 10:50:49 PDT 2015,,,,,,[],"""condition 1""",8.432716666666666
10,37OPIVELUU45G53HIM08T5JNUUNHAA,3VL3OSLWYGZFCC4PWPUDIK69C4OG1G,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 6-8 minutes.,language research stanford fun cognitive science university psychology,$0.60,Thu May 07 10:32:52 PDT 2015,20,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sat Jun 06 10:32:52 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=37OPIVELUU45G53HIM08T5JNUUNHAA,3WEV0KO0OMTVR5I24S8AC4TIKP7SDL,10,Submitted,Fri May 08 03:31:07 PDT 2015,Thu May 07 10:34:51 PDT 2015,Thu May 07 10:51:07 PDT 2015,,,,,,[],"""condition 2""",10.510833333333334
11,37OPIVELUU45G53HIM08T5JNUUNHAA,3VL3OSLWYGZFCC4PWPUDIK69C4OG1G,Fun psychology experiment about language and people,Read descriptions about different people and answer questions about them. This experiment should take around 6-8 minutes.,language research stanford fun cognitive science university psychology,$0.60,Thu May 07 10:32:52 PDT 2015,20,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Sat Jun 06 10:32:52 PDT 2015,http://requester.mturk.com/mturk/manageHIT?HITId=37OPIVELUU45G53HIM08T5JNUUNHAA,3UN61F00HWQOMD3WAXQMOI0UL6R5R3,11,Submitted,Fri May 08 03:33:08 PDT 2015,Thu May 07 10:35:12 PDT 2015,Thu May 07 10:53:08 PDT 2015,,,,,,[],"""condition 1""",7.112783333333334
