date,workerid,amount
Thu May 07 10:38:30 PDT 2015,A32FIOOQE8U98U,0.6
Thu May 07 10:39:13 PDT 2015,A2YCMT5BPA0AG9,0.6
Thu May 07 10:39:28 PDT 2015,A2GVRP6DVTJMX5,0.6
Thu May 07 10:39:43 PDT 2015,A1PLZ0172SZAO1,0.6
Thu May 07 10:40:13 PDT 2015,A1CA1PH52XPXPR,0.6
Thu May 07 10:42:30 PDT 2015,A11S43P3WNLIZD,0.6
Thu May 07 10:44:20 PDT 2015,AZSAF65XFKDK7,0.6
Thu May 07 10:45:50 PDT 2015,A1V8MSGK7CVD8B,0.6
Thu May 07 10:49:43 PDT 2015,A2WLGVXAVT2XTR,0.6
Thu May 07 10:50:49 PDT 2015,AYC97GMI4V7Y4,0.6
Thu May 07 10:51:07 PDT 2015,A1VZSFHTU51JP0,0.6
Thu May 07 10:53:08 PDT 2015,A273DS7TQWR9M1,0.6
Thu May 07 10:59:31 PDT 2015,A28RX7L0QZ993M,0.6
Thu May 07 10:59:50 PDT 2015,A1ULZD1CNDX2MF,0.6
Thu May 07 11:05:03 PDT 2015,A344C0AMHKCN0S,0.6
Thu May 07 11:10:58 PDT 2015,AIWM3BHTUTNGQ,0.6
Thu May 07 11:19:13 PDT 2015,A1UNH6N06KJOFA,0.6
Thu May 07 11:26:33 PDT 2015,A3JENDY17M92H7,0.6
Thu May 07 11:39:32 PDT 2015,A23DPGTXU8VUG2,0.6
Thu May 07 11:53:51 PDT 2015,A24DYXCGZQUZUQ,0.6
,total paid to workers:,=SUM(c2:c21)
,10% paid to Amazon:,=.1*c22
,total:,=SUM(c22:c23
