workerid,language,enjoyment,gender,age,comments,asses,education
0,english,1,Male,21,,Yes,2
1,English,2,Female,34,It was interesting. Thank you.,Yes,2
2,english,2,Male,26,,Yes,3
3,English,2,Female,33,Really fun.  Thanks. ,Yes,3
4,English,1,Female,55,N/a,Yes,2
5,english,2,Male,33,,Yes,2
6,ENGLISH,2,Female,37,Thank you! Hope your experiment goes well. :),Yes,2
7,English,1,Male,29,It was a fun survey,Yes,3
8,english,1,Female,33,,Yes,1
9,English,1,Male,43,,Yes,3
10,English,1,Female,37,,Yes,3
11,English,2,Male,29,,Yes,1
12,English,1,Male,30,,Yes,2
13,English,0,Female,56,"I got lost in the scale a few times, so it took me longer than it should have.",Yes,3
14,english,2,Female,28,,Yes,3
15,English,1,Male,59,"I accidentally submitted the 2nd page without completing the questions at the top of the page, I will retake the survey if this an issue.",Yes,2
16,English,1,Female,23,,Yes,2
17,english,2,Male,22,,Yes,1
18,English,2,Male,59,,Yes,2
19,,-1,,,good survey,NA,-1
20,English,2,Female,30,,No,4
21,English,2,Female,28,I&quotecharm curious to know why this experiment is being done.,Yes,3
22,english,2,Male,28,none,Yes,1
23,English,2,Male,24,It was definitely more fun to use the sliders over 7 or 9 buttons.,Yes,1
24,English,1,Male,39,,Yes,1
25,English,2,Female,20,,Yes,2
26,English,2,Male,38,thank you,Yes,3
27,English,2,Female,41,Loved this,Yes,2
28,English,2,Female,21,,Yes,1
29,English,2,Female,59,"Would be curious as to how you came up with this list as there seem to be some other good descriptive words, too -- e.g., clever.",Yes,4
30,English,2,Male,29,Thank you,Yes,1
31,English,2,Female,30,,Yes,3
32,English,1,Female,51,,Confused,2
33,English,2,Female,26,No Comments.,Yes,1
34,English,2,Female,67,Thanks!,Yes,1
35,English,1,Female,30,"Good survey, glad to participate have a great day!",Yes,2
36,English,1,Female,24,,Yes,0
37,English,2,Male,23,,Yes,2
38,English,2,,,I experienced no difficulties within this survey. All of the questions were easy to understand. Thank you for this opportunity!,NA,-1
39,english,2,Male,30,good survey,Yes,2
40,,-1,,,,NA,-1
41,English,1,Male,26,,Yes,2
42,english,2,Female,54,,Yes,1
43,English,2,Male,22,It was a fun experiment that surprisingly made me think. ,Yes,2
44,English,1,Male,34,,Yes,3
45,English,1,Female,28,,Yes,3
46,English,2,,25,Fun hit that can be done quickly would prefer to do more hits like this.,NA,3
47,english,2,Male,23,,Yes,3
48,English,1,Female,44,,Yes,2
49,English,2,Male,30,None,Yes,3
50,,-1,,,,NA,-1
51,English,2,Female,28,,Yes,3
52,english,1,Male,39,"it was fun, thanks",Yes,3
53,"Armenian, English",1,Male,24,,Yes,1
54,English,2,Female,42,Thanks. It took a lot of imagination to think about how the listed animals look & sound.,Yes,2
55,English,2,Male,20,"Very smooth, phenomenal hit.",Yes,2
56,english,2,Male,26,fun hit,Yes,1
57,English,2,Female,29,This was fun.,Yes,3
58,English,2,Female,19,Fun HIT. Thanks! :),Yes,1
59,english,1,Female,23,,Yes,1
